Run,ID,Mean_Particle_Size_#1,SD_of_Particle_#1,Mean_Particle_Size_#2,SD_of_Particle_#2,Mean_Particle_Size_#3,SD_of_Particle_#3,Particle_#1_Mass_Fraction,Particle_#2_Mass_Fraction,Particle_#3_Mass_Fraction,Packing_Fraction
1,0,20,1,40,2.8284,60,5.1962,0.2239,0.597,0.1791,0.74
2,1,20,1,40,2.8284,60,779.4229,0.2239,0.597,0.1791,0.737
3,2,20,1,40,2.8284,60,1558.8457,0.2239,0.597,0.1791,0.737
4,3,20,1,40,2.8284,80,8,0.2239,0.597,0.1791,0.743
5,4,20,1,40,2.8284,80,1200,0.2239,0.597,0.1791,0.74
6,5,20,1,40,2.8284,80,2400,0.2239,0.597,0.1791,0.741
7,6,20,1,40,2.8284,100,11.1803,0.2239,0.597,0.1791,0.747
8,7,20,1,40,2.8284,100,1677.051,0.2239,0.597,0.1791,0.743
9,8,20,1,40,2.8284,100,3354.102,0.2239,0.597,0.1791,0.741
10,9,20,1,40,424.2641,60,5.1962,0.2239,0.597,0.1791,0.715
11,10,20,1,40,424.2641,60,779.4229,0.2239,0.597,0.1791,0.713
12,11,20,1,40,424.2641,60,1558.8457,0.2239,0.597,0.1791,0.712
13,12,20,1,40,424.2641,80,8,0.2239,0.597,0.1791,0.72
14,13,20,1,40,424.2641,80,1200,0.2239,0.597,0.1791,0.716
15,14,20,1,40,424.2641,80,2400,0.2239,0.597,0.1791,0.717
16,15,20,1,40,424.2641,100,11.1803,0.2239,0.597,0.1791,0.727
17,16,20,1,40,424.2641,100,1677.051,0.2239,0.597,0.1791,0.72
18,17,20,1,40,424.2641,100,3354.102,0.2239,0.597,0.1791,0.721
19,18,20,1,40,848.5281,60,5.1962,0.2239,0.597,0.1791,0.698
20,19,20,1,40,848.5281,60,779.4229,0.2239,0.597,0.1791,0.688
21,20,20,1,40,848.5281,60,1558.8457,0.2239,0.597,0.1791,0.687
22,21,20,1,40,848.5281,80,8,0.2239,0.597,0.1791,0.695
23,22,20,1,40,848.5281,80,1200,0.2239,0.597,0.1791,0.693
24,23,20,1,40,848.5281,80,2400,0.2239,0.597,0.1791,0.693
25,24,20,1,40,848.5281,100,11.1803,0.2239,0.597,0.1791,0.697
26,25,20,1,40,848.5281,100,1677.051,0.2239,0.597,0.1791,0.699
27,26,20,1,40,848.5281,100,3354.102,0.2239,0.597,0.1791,0.698
28,27,20,1,60,5.1962,40,2.8284,0.2239,0.597,0.1791,0.751
29,28,20,1,60,5.1962,40,424.2641,0.2239,0.597,0.1791,0.738
30,29,20,1,60,5.1962,40,848.5281,0.2239,0.597,0.1791,0.731
31,30,20,1,60,5.1962,80,8,0.2239,0.597,0.1791,0.747
32,31,20,1,60,5.1962,80,1200,0.2239,0.597,0.1791,0.744
33,32,20,1,60,5.1962,80,2400,0.2239,0.597,0.1791,0.742
34,33,20,1,60,5.1962,100,11.1803,0.2239,0.597,0.1791,0.75
35,34,20,1,60,5.1962,100,1677.051,0.2239,0.597,0.1791,0.748
36,35,20,1,60,5.1962,100,3354.102,0.2239,0.597,0.1791,0.753
37,36,20,1,60,779.4229,40,2.8284,0.2239,0.597,0.1791,0.73
38,37,20,1,60,779.4229,40,424.2641,0.2239,0.597,0.1791,0.722
39,38,20,1,60,779.4229,40,848.5281,0.2239,0.597,0.1791,0.715
40,39,20,1,60,779.4229,80,8,0.2239,0.597,0.1791,0.728
41,40,20,1,60,779.4229,80,1200,0.2239,0.597,0.1791,0.724
42,41,20,1,60,779.4229,80,2400,0.2239,0.597,0.1791,0.724
43,42,20,1,60,779.4229,100,11.1803,0.2239,0.597,0.1791,0.731
44,43,20,1,60,779.4229,100,1677.051,0.2239,0.597,0.1791,0.724
45,44,20,1,60,779.4229,100,3354.102,0.2239,0.597,0.1791,0.728
46,45,20,1,60,1558.8457,40,2.8284,0.2239,0.597,0.1791,0.718
47,46,20,1,60,1558.8457,40,424.2641,0.2239,0.597,0.1791,0.709
48,47,20,1,60,1558.8457,40,848.5281,0.2239,0.597,0.1791,0.697
49,48,20,1,60,1558.8457,80,8,0.2239,0.597,0.1791,0.709
50,49,20,1,60,1558.8457,80,1200,0.2239,0.597,0.1791,0.706
51,50,20,1,60,1558.8457,80,2400,0.2239,0.597,0.1791,0.702
52,51,20,1,60,1558.8457,100,11.1803,0.2239,0.597,0.1791,0.712
53,52,20,1,60,1558.8457,100,1677.051,0.2239,0.597,0.1791,0.708
54,53,20,1,60,1558.8457,100,3354.102,0.2239,0.597,0.1791,0.707
55,54,20,1,80,8,40,2.8284,0.2239,0.597,0.1791,0.759
56,55,20,1,80,8,40,424.2641,0.2239,0.597,0.1791,0.743
57,56,20,1,80,8,40,848.5281,0.2239,0.597,0.1791,0.737
58,57,20,1,80,8,60,5.1962,0.2239,0.597,0.1791,0.759
59,58,20,1,80,8,60,779.4229,0.2239,0.597,0.1791,0.748
60,59,20,1,80,8,60,1558.8457,0.2239,0.597,0.1791,0.738
61,60,20,1,80,8,100,11.1803,0.2239,0.597,0.1791,0.756
62,61,20,1,80,8,100,1677.051,0.2239,0.597,0.1791,0.749
63,62,20,1,80,8,100,3354.102,0.2239,0.597,0.1791,0.745
64,63,20,1,80,1200,40,2.8284,0.2239,0.597,0.1791,0.741
65,64,20,1,80,1200,40,424.2641,0.2239,0.597,0.1791,0.734
66,65,20,1,80,1200,40,848.5281,0.2239,0.597,0.1791,0.723
67,66,20,1,80,1200,60,5.1962,0.2239,0.597,0.1791,0.737
68,67,20,1,80,1200,60,779.4229,0.2239,0.597,0.1791,0.729
69,68,20,1,80,1200,60,1558.8457,0.2239,0.597,0.1791,0.721
70,69,20,1,80,1200,100,11.1803,0.2239,0.597,0.1791,0.738
71,70,20,1,80,1200,100,1677.051,0.2239,0.597,0.1791,0.735
72,71,20,1,80,1200,100,3354.102,0.2239,0.597,0.1791,0.729
73,72,20,1,80,2400,40,2.8284,0.2239,0.597,0.1791,0.731
74,73,20,1,80,2400,40,424.2641,0.2239,0.597,0.1791,0.724
75,74,20,1,80,2400,40,848.5281,0.2239,0.597,0.1791,0.714
76,75,20,1,80,2400,60,5.1962,0.2239,0.597,0.1791,0.726
77,76,20,1,80,2400,60,779.4229,0.2239,0.597,0.1791,0.718
78,77,20,1,80,2400,60,1558.8457,0.2239,0.597,0.1791,0.711
79,78,20,1,80,2400,100,11.1803,0.2239,0.597,0.1791,0.72
80,79,20,1,80,2400,100,1677.051,0.2239,0.597,0.1791,0.714
81,80,20,1,80,2400,100,3354.102,0.2239,0.597,0.1791,0.712
82,81,20,1,100,11.1803,40,2.8284,0.2239,0.597,0.1791,0.76
83,82,20,1,100,11.1803,40,424.2641,0.2239,0.597,0.1791,0.753
84,83,20,1,100,11.1803,40,848.5281,0.2239,0.597,0.1791,0.743
85,84,20,1,100,11.1803,60,5.1962,0.2239,0.597,0.1791,0.762
86,85,20,1,100,11.1803,60,779.4229,0.2239,0.597,0.1791,0.751
87,86,20,1,100,11.1803,60,1558.8457,0.2239,0.597,0.1791,0.741
88,87,20,1,100,11.1803,80,8,0.2239,0.597,0.1791,0.754
89,88,20,1,100,11.1803,80,1200,0.2239,0.597,0.1791,0.748
90,89,20,1,100,11.1803,80,2400,0.2239,0.597,0.1791,0.746
91,90,20,1,100,1677.051,40,2.8284,0.2239,0.597,0.1791,0.752
92,91,20,1,100,1677.051,40,424.2641,0.2239,0.597,0.1791,0.743
93,92,20,1,100,1677.051,40,848.5281,0.2239,0.597,0.1791,0.738
