,vol_frac,trial_index,arm_name,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,trial_status,generation_method,runtime,trial_start_datetime,trial_complete_datetime,time_elapsed,vol_frac_pred,vol_frac_sigma
0,0.669,0,0_0,3.90883207321167,1.4598201215267181,3.9024465084075928,0.391926908493042,0.3216787278652191,0.11284876856952906,0.44999873638153076,0.21019288897514343,0.9040491580963135,COMPLETED,Sobol,2412.159783,2022-06-24 01:57:12.870628,2022-06-24 02:37:25.030411,2412.159783,0.6687243021213174,0.0041889542046974725
3,0.707,1,1_0,1.4832294322550297,4.622854020446539,1.8770184107124805,0.997223609406501,0.7808865854516626,0.9148976150900126,0.9055434931069613,0.5258402321487665,0.43215073738247156,COMPLETED,Sobol,21328.497309,2022-06-24 01:57:13.084057,2022-06-24 07:52:41.581366,21328.710738,0.7058639445678543,0.004113729046998265
15,0.668,2,2_0,2.3698662742972374,2.375256072729826,4.291841842234135,0.3178933111950755,0.6480241171084344,0.587454919051379,0.07985372375696898,0.9669664707034826,0.08809249103069305,COMPLETED,Sobol,11952.789163,2022-06-24 01:57:13.230666,2022-06-24 05:16:26.019829,11953.149201,0.6684491968156003,0.004185147425818596
27,0.628,3,3_0,4.803502395749092,3.542317498475313,2.301587648689747,0.6124872080050409,0.4560037586838007,0.4895196576602757,0.5022566327825189,0.2689415169879794,0.6221247101202607,COMPLETED,Sobol,2728.150318,2022-06-24 01:57:13.370292,2022-06-24 02:42:41.520610,2728.649982,0.6288545641379,0.004188024467755117
39,0.608,4,4_0,4.242781966924667,2.870648719370365,1.072709333151579,0.742345878854394,0.42188976816833024,0.28535322081297637,0.14233722537755966,0.8509648954495788,0.20513715036213398,COMPLETED,Sobol,5183.870503,2022-06-24 01:57:13.531860,2022-06-24 03:23:37.402363,5184.531735,0.6095150278744161,0.004192605389852068
51,0.647,5,5_0,2.67668429762125,3.2037246376276016,3.0825181417167187,0.19330993862822654,0.68070720275864,0.8341830760240555,0.689736919477582,0.41617687977850437,0.7394631011411548,COMPLETED,Sobol,6432.184455,2022-06-24 01:57:13.692431,2022-06-24 03:44:25.876886,6433.006258,0.6476759169852446,0.0041911356272975875
63,0.68,6,6_0,1.5317428298294544,1.7940192222595215,2.7467886358499527,0.860333445481956,0.9978103937581182,0.7670073582790792,0.26248745154589415,0.10786408744752407,0.7710132990032434,COMPLETED,Sobol,16956.984521,2022-06-24 01:57:13.854996,2022-06-24 06:39:50.839517,16957.968889,0.6799457226607895,0.004193190553301116
75,0.648,7,7_0,3.1064085625112057,4.130878560245037,4.721427366137505,0.5094797066412866,0.10618046084418893,0.4158213482238352,0.8430299470201135,0.6594047350808978,0.2995535610243678,COMPLETED,Sobol,5587.169061,2022-06-24 01:57:14.028533,2022-06-24 03:30:21.197594,5588.326966,0.6491031742914977,0.004180610599560347
87,0.697,8,8_0,3.319310586899519,2.0433245599269867,2.842762354761362,0.1380267383530736,0.856350181531161,0.5442271100357176,0.2356300950050354,0.8102383501827717,0.17579786852002144,COMPLETED,Sobol,18569.790056,2022-06-24 02:37:25.070303,2022-06-24 07:46:54.860359,20981.989731,0.696100130325715,0.004184646013688619
99,0.715,9,9_0,1.7603081203997135,3.882122538983822,4.813441906124353,0.6868575449101627,0.24591558352112772,0.642164533957839,0.6589497420936823,0.48525258246809244,0.6437948169186711,COMPLETED,Sobol,12240.26312,2022-06-24 02:42:41.563494,2022-06-24 06:06:41.826614,14968.955986,0.7156271195198588,0.0031500656228571236
