,vol_frac,trial_index,arm_name,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,sq_particles,trial_status,generation_method,runtime,vol_frac_pred,vol_frac_sigma
0,0.666,0,0_0,2.1954606771469116,2.6817315816879272,2.255570888519287,0.5992819964885712,0.5987916886806488,0.9157224178314209,0.731437623500824,0.8109044432640076,0.014485359191894531,19711231552,COMPLETED,Sobol,1650.789925,0.6638069920293316,0.009602107772823016
3,0.642,1,1_0,4.545896738767624,3.891731221228838,4.7086515091359615,0.26195863587781787,0.5343093790113926,0.35184349836781625,0.012751205824315548,0.10149926692247391,0.6077328193932772,50552759023,COMPLETED,Sobol,4962.537288,0.6420628646388806,0.009590641087104277
15,0.614,2,2_0,3.499312061816454,1.4032901786267757,1.7894041649997234,0.9142172685824335,0.2445490106008947,0.21540156845003366,0.9186749644577503,0.49999382160604,0.8579174252226949,38140071533,COMPLETED,Sobol,983.75306,0.6176163016350018,0.009576098527756038
27,0.634,3,3_0,1.774974785745144,4.17949765920639,3.2424518950283527,0.35153977088630206,0.8855796523392201,0.6043685049749911,0.3254794655367732,0.6624020151793957,0.2636914988979697,7226981615,COMPLETED,Sobol,269.521158,0.634409953580019,0.00963317203205948
39,0.628,4,4_0,1.283914726227522,1.6938421316444874,4.371343396604061,0.4713801429606974,0.953898248448968,0.8058176034130156,0.7648585280403495,0.28782800771296024,0.902411749586463,56745697126,COMPLETED,Sobol,4129.298201,0.6295546367141891,0.009583516571767944
51,0.679,5,5_0,3.941787213087082,4.981722481548786,2.668326109647751,0.8091537157073617,0.11597737846896053,0.4634504007175565,0.4831707254052162,0.6240795403718948,0.4966623820364475,25844217150,COMPLETED,Sobol,4063.132438,0.6796461584715796,0.00869184036388505
63,0.63,6,6_0,4.021331686526537,2.4693042635917664,3.829759642481804,0.10086460169404746,0.40277819074690346,0.10022319750860334,0.5775901256129146,0.9757069479674101,0.24635870289057493,15595714260,COMPLETED,Sobol,856.699891,0.6308490583101329,0.009617479989336153
75,0.678,7,7_0,2.737360678613186,3.1988808177411556,1.1266493275761604,0.6630918872542679,0.6641232955269516,0.7177333338186145,0.17041238024830818,0.18620847538113594,0.6530827218666673,46447907305,COMPLETED,Sobol,4493.550519,0.6720191596422577,0.008912466818062912
87,0.684,8,8_0,2.8449631929397583,1.1958411149680614,3.71228239312768,0.8590951156802475,0.4900754046626389,0.6395210225135088,0.8652033368125558,0.3747284319251776,0.9515529554337263,4082959643,COMPLETED,Sobol,165.103235,0.6786781847539939,0.008087086292286848
99,0.665,9,9_0,4.38271851465106,4.472399577498436,1.259263303130865,0.5218536680564284,0.636544499732554,0.2927422313950956,0.39454843662679195,0.5371478907763958,0.42080364748835564,34984837928,COMPLETED,Sobol,3157.46535,0.661388474929381,0.009334949018089587
1,0.687,10,10_0,3.2583512403836403,3.638857425600642,1.3960173850341275,0.6972135758651343,0.5395932754460732,0.6452224422505799,0.2761477117259947,0.30847240418115074,0.6013040464657352,625000000,COMPLETED,GPKG,119.111255,0.6743499732438034,0.008303018728737224
2,0.647,11,11_0,2.526629390594934,2.6556993692085458,1.18203654065629,0.7526576231481984,0.6345548222325597,0.8542177378338102,0.18975106785264095,0.11511084175440257,0.7171617067991735,625000000,COMPLETED,GPKG,58.564286,0.6475816757843386,0.009427446630642483
4,0.644,12,12_0,3.2691339660786567,3.004953545070079,1.0330132309197824,0.6467843668847109,0.7696195279312739,0.6033197579132186,0.21504547528769816,0.14553452873428477,0.7401967311342516,625000000,COMPLETED,GPKG,117.334133,0.645653146622047,0.009334209162606848
5,0.653,13,13_0,2.828329741440756,3.945454022315364,1.0,0.6267508032681367,0.6285249947916891,0.6228173638561918,0.06967735538044682,0.26341932906624915,0.5299185935439543,625000000,COMPLETED,GPKG,58.833381,0.653791559628905,0.00929378441685338
6,0.617,14,14_0,2.9821138485368692,3.5621086800163497,1.0498186421409668,0.49302448316523795,0.5796292496521882,0.6677370033437955,0.3369825931195436,0.28835249487265296,0.6119434377014411,625000000,COMPLETED,GPKG,125.953594,0.6242900934139235,0.009209052290107994
7,0.643,15,15_0,3.6646957627572645,4.12392681149341,1.834657825315925,0.7425639867920552,0.3986432417377985,0.5836142762473843,0.37710168038605285,0.42710110504969945,0.5617886624498523,625000000,COMPLETED,GPKG,62.158546,0.6452642448453068,0.009266534969169361
8,0.619,16,16_0,3.120613980287509,3.2414882832189646,1.3812439669956795,0.7466047597149998,0.5837929062625961,0.7369877088403766,0.36754416476474483,0.4321276399520766,0.42902147404522456,625000000,COMPLETED,GPKG,127.9676,0.6243920087494931,0.009364754638587677
9,0.677,17,17_0,2.8004879090390045,3.7156102036566647,1.7988724716849016,0.8447186627761616,0.5505366375653358,0.6275179817456125,0.09199903197706805,0.3000290136213805,0.6722764767482221,625000000,COMPLETED,GPKG,63.190007,0.6678125490500928,0.008362315160965321
10,0.671,18,18_0,2.994288834581087,1.5072674745590229,3.92435045335688,0.9160463611079165,0.47951049449134764,0.7580341656350953,0.7563429449011653,0.3446883297633129,0.9266913056953789,625000000,COMPLETED,GPKG,130.586226,0.6710074635271136,0.008827965700562669
11,0.624,19,19_0,2.410067775215362,3.885179674175171,2.029261736770403,0.8969953670328792,0.533949462008052,0.5929837073286611,0.0,0.27604796954130506,0.7759820296597322,625000000,COMPLETED,GPKG,65.553772,0.6310643644855403,0.009086229863919099
12,0.66,20,20_0,3.7865415342861506,3.90218420380146,1.5620242970251494,0.853335377679834,0.4539274714272009,0.6252306731463488,0.056376136716240324,0.15594307277914146,0.682115477283208,625000000,COMPLETED,GPKG,133.892929,0.6580386806039068,0.009383115245033357
13,0.669,21,21_0,2.783725542053373,1.0,4.03430438614315,0.8188119796610772,0.5219238248131164,0.5712116618816802,1.0,0.3735060605512611,1.0,625000000,COMPLETED,GPKG,68.263805,0.670913143233111,0.008939609702794565
14,0.647,22,22_0,2.659943785630875,1.0,3.491598984063161,0.9587333297019456,0.3985606276864426,0.8278950247332338,0.6903724265822635,0.4077936715808479,0.9835116938273273,625000000,COMPLETED,GPKG,142.208552,0.6489957149392904,0.009318449125778394
16,0.686,23,23_0,3.426487422593548,1.0,4.44361492739658,0.9051720431246538,0.4907940499824177,0.6417396269893043,0.8596948712502,0.29840714491400233,0.8302612130876604,625000000,COMPLETED,GPKG,72.187641,0.6895977432055276,0.008363967239740082
17,0.664,24,24_0,2.829368887345653,1.9964904900203047,3.550712569207378,0.84429214075046,0.5811918381197492,0.6608775388704162,0.9686021174856586,0.3469701342618157,0.9977718176195386,625000000,COMPLETED,GPKG,146.067063,0.6638879832764957,0.009389139363895644
18,0.717,25,25_0,3.6651284128238486,1.0703623917772176,4.855487753656435,0.9318485129801031,0.5224602246039656,0.6057036057810795,0.863252549600321,0.21154308703137917,0.8231640997845654,625000000,COMPLETED,GPKG,74.115362,0.714068324399716,0.007758697846471341
19,0.677,26,26_0,3.217954176605327,1.1282964961758934,4.126620535126516,0.7833593001226019,0.45923549780767725,0.6710506940955216,0.8980656930354727,0.48283374232386067,0.7780160591444409,625000000,COMPLETED,GPKG,151.746186,0.674983301296755,0.009200183415765832
