,vol_frac,trial_index,arm_name,mu1_div_mu3,mu2_div_mu3,std1,std2,std3,comp1,comp2,comp3,trial_status,generation_method,runtime,vol_frac_pred,vol_frac_sigma
0,0.644,0,0_0,0.34237049147486687,0.8717453951636951,0.5253335475921631,0.8231520790606737,0.7057286740280688,0.7520017558708787,0.4020502930507064,0.9488023752346635,COMPLETED,Sobol,137.018792,0.6439894586663718,0.004317520567030919
3,0.723,1,1_0,1.1867459813753765,0.5029950067400932,0.2825462756678462,0.6949649709276855,0.3263008646667004,0.045443431474268436,0.03578255698084831,0.1748634185642004,COMPLETED,Sobol,200.088297,0.7220573369390081,0.004312934172525534
15,0.623,2,2_0,1.087881681819757,1.3067300406595073,0.4024649674072862,0.5500822155736387,0.501867413893342,0.3499037455767393,0.7393781822174788,0.7098966296762228,COMPLETED,Sobol,100.95906,0.6230365766433045,0.004318532249754541
27,0.574,3,3_0,0.5975201117495696,1.6515165505309901,0.20238692201673986,0.9034804739058018,0.6567115020938218,0.5730330403894186,0.8222987847402692,0.4203590238466859,COMPLETED,Sobol,79.037764,0.5741610099256085,0.004318425868753204
39,0.633,4,4_0,1.4665599775811038,1.051145217070977,0.10015714643523098,0.4951531029306352,0.7687881547957659,0.09469186421483755,0.6418841909617186,0.6835932563990355,COMPLETED,Sobol,108.466921,0.6330289619954308,0.0043183974914962064
51,0.625,5,5_0,1.049752219269673,0.9940782015522323,0.9364307637326419,0.9487592751160264,0.847088722512126,0.4098258353769779,0.29604392778128386,0.837444020435214,COMPLETED,Sobol,158.064006,0.625099719341021,0.0043179556462970585
63,0.657,6,6_0,1.3048519256214302,1.5243274755775928,0.5783349155448377,0.8605454003438353,0.9105846598744393,0.22990777622908354,0.9986476982012391,0.30900069884955883,COMPLETED,Sobol,224.053519,0.6569400602175239,0.004318518039879326
75,0.563,7,7_0,0.7133768076697986,0.772572934627533,0.2651310973800719,0.3173304345458746,0.43837105492129924,0.5046060383319855,0.49990286584943533,0.9126058081164956,COMPLETED,Sobol,57.170173,0.5632376163058457,0.0043180740831612096
87,0.655,8,8_0,1.5152256886164348,1.2357229329645634,0.6924855184741319,0.9248054328374564,0.3738029179163277,0.5465413071215153,0.4172358112409711,0.6080129938200116,COMPLETED,Sobol,122.550922,0.6549855880864246,0.0043183131655004986
99,0.55,9,9_0,0.4196712908645471,0.4882100274165472,0.15076076788827777,0.15307439947500825,0.8147454392164946,0.18793877866119146,0.9162781937047839,0.23871796764433384,COMPLETED,Sobol,50.303831,0.5502167506445316,0.004318535151447837
1,0.704,10,10_0,1.3168786133805832,0.6011647877552557,0.35018387407768814,0.7725723587543581,0.3252258664289127,0.07119293835882119,0.048478501825695394,0.18512292130890348,COMPLETED,GPEI,364.954068,0.7036243156133384,0.004302340243184108
2,0.0,11,11_0,1.0902803806526593,0.3858687892045054,0.21384605367937376,0.6415089102643813,0.3122978872513243,0.0,0.0,0.13140034278207166,COMPLETED,GPEI,160.977679,0.0019571944941952912,0.004317743340835203
4,0.666,12,12_0,1.0825338678530985,0.584388466524806,0.30534602802705857,0.6214396355138854,0.40458365776581107,0.06420748818651002,0.018790963128546202,0.25947538286354926,COMPLETED,GPEI,369.279966,0.6664419262530724,0.004306818254070675
5,0.718,13,13_0,1.2460067384683582,0.4260234876433111,0.23965034101624116,0.7335108029606122,0.23877156934100066,0.09347214757699997,0.16237791175249677,0.15599253824626835,COMPLETED,GPEI,223.240015,0.717252321994185,0.004310712056705675
6,0.633,14,14_0,1.6627377060171509,1.6282346567516726,0.9263760892303677,0.997391859754908,0.58344625667135,0.43959746559427515,0.6985017452627122,0.1769476914136272,COMPLETED,GPEI,238.137302,0.6329891537567098,0.004318440616718761
7,0.677,15,15_0,1.4609305727240973,0.859697439274419,0.7635942647182793,0.8924337283154959,0.5809132915780052,0.11277996836673385,0.2898082022680437,0.7442664788446441,COMPLETED,GPEI,279.801984,0.6769538463417184,0.004316374754073573
8,0.682,16,16_0,1.5936170274131427,0.9576954511561218,0.48366750528611857,0.9227524316799749,0.2873914637556501,0.2904109953605048,0.13825495841058388,0.23710058165177247,COMPLETED,GPEI,147.279008,0.6818987759978252,0.004313974734710774
9,0.682,17,17_0,1.4499255051411646,0.4760340335567004,0.2640987625605874,0.8354304558441771,0.17882242586519498,0.22115537158463117,0.5550811453702985,0.29298114168025263,COMPLETED,GPEI,278.107139,0.682155975188902,0.004307496389096533
10,0.726,18,18_0,1.3777695856269183,0.5296720340095834,0.24526082414294345,0.8570941926552185,0.1,0.47087307121772737,0.2875409143124637,0.062124464232250945,COMPLETED,GPEI,290.430503,0.7258007717637671,0.0043104167413123085
11,0.654,19,19_0,1.6453912308078373,1.4430709563880513,0.6623676318725054,0.991805912844147,0.15096138550369398,0.893874585410794,0.37703849037854387,0.6792868931538648,COMPLETED,GPEI,144.588539,0.6539631882026993,0.00431839434908336
12,0.671,20,20_0,1.5596205597712287,0.6637892323629923,0.571128187735809,0.83487598313304,0.5112511630015315,0.0,0.0017114773557070986,0.3035668732483634,COMPLETED,GPEI,257.012751,0.6708704208380756,0.004309872470179529
13,0.664,21,21_0,1.3456129937131394,0.952232471863182,0.42233846881018955,1.0,0.1,0.11847003547541259,0.2046881679815985,0.03237529439106332,COMPLETED,GPEI,557.698025,0.6640421290723919,0.004314458356573647
14,0.7,22,22_0,1.1959476365122736,0.9200053572753066,0.5109112211171428,0.9019347450496239,0.2756036807264629,0.21676714525622512,0.36580325149455817,0.5513169524229523,COMPLETED,GPEI,225.46731,0.6997638585599356,0.004309509866749589
16,0.644,23,23_0,1.6666666666666667,1.5680241993241386,1.0,1.0,0.49022041767323,0.9222416140868985,0.27692981953619084,0.7672576625927772,COMPLETED,GPEI,343.884685,0.6439778045996924,0.004314936510788614
