,vol_frac,trial_index,arm_name,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,trial_status,generation_method,runtime,vol_frac_pred,vol_frac_sigma
0,0.613,0,0_0,2.67668429762125,3.2037246376276016,3.0825181417167187,0.19330993862822654,0.68070720275864,0.8341830760240555,0.689736919477582,0.41617687977850437,0.7394631011411548,COMPLETED,Sobol,52.06017,0.6134991996977694,0.009592759833153205
3,0.674,1,1_0,2.905165635049343,1.1198937967419624,1.4768042787909508,0.4520429573953152,0.5071052392013371,0.9696140947751701,0.35571430902928114,0.05151230562478304,0.8628525845706463,COMPLETED,Sobol,37.526704,0.667296874499064,0.008110409945854206
15,0.604,2,2_0,2.0788011327385902,4.291120070964098,2.1470654867589474,0.3366851265542209,0.3707076621241868,0.7087753675878048,0.9998134169727564,0.5632079327479005,0.4653877532109618,COMPLETED,Sobol,30.579274,0.6047578973318682,0.009594330492833746
27,0.555,3,3_0,4.690979976207018,4.388437785208225,1.2920880168676376,0.1638206321746111,0.2870051522739232,0.8220104428939521,0.10801954194903374,0.5969217838719487,0.8434964083135128,COMPLETED,Sobol,23.828315,0.5592758296511966,0.009596638692249674
39,0.656,4,4_0,4.978146646171808,2.2886767834424973,3.1478037275373936,0.48165333876386285,0.9009169383905828,0.925539892911911,0.9380744518712163,0.9977210629731417,0.7119444264099002,COMPLETED,Sobol,89.138791,0.6537940791880814,0.009594339950223997
45,0.574,5,5_0,1.2983613163232803,1.3603623732924461,4.5328203067183495,0.10874594850465656,0.3504779354669154,0.4509174362756312,0.5914299171417952,0.2389914421364665,0.27983114402741194,COMPLETED,Sobol,20.346622,0.5774812250021817,0.009597432426010223
46,0.596,6,6_0,4.909441202878952,4.527165777981281,4.786274906247854,0.2721500787883997,0.434346635825932,0.87314139502123,0.47853527311235666,0.8343873023986816,0.3544247020035982,COMPLETED,Sobol,31.424016,0.5972915689180446,0.00959695254798405
47,0.671,7,7_0,4.106529429554939,1.8233004994690418,3.589363269507885,0.18272066628560424,0.4439584458246827,0.5556102676317097,0.8686921447515488,0.2836287133395672,0.943296262063086,COMPLETED,Sobol,33.839586,0.6697351673344657,0.009391894396465468
48,0.619,8,8_0,1.9052884168922901,4.929501507431269,2.3291042000055313,0.12763160094618797,0.16976627986878157,0.2655461516231299,0.3227884490042925,0.9276534635573626,0.37975691817700863,COMPLETED,Sobol,21.637171,0.618898613312206,0.009599147231511895
49,0.637,9,9_0,4.634077206254005,2.6733745485544205,2.6498031094670296,0.37553652683272964,0.5850987635552883,0.987320720218122,0.5664638951420784,0.6962747862562537,0.23079012800008059,COMPLETED,Sobol,45.140383,0.636128221627103,0.009591159727039753
1,0.704,10,10_0,3.3556923657196163,1.1189274962902516,2.0184577374962895,0.40045900408334645,0.49521694274234507,0.864950562144879,0.5099744259194973,0.1018203920555705,0.9006053105583559,COMPLETED,GPEI,52.87795,0.7049455162525783,0.006934235895120566
2,0.611,11,11_0,2.519357552602343,1.0,1.0,0.5468573592634208,0.5468573592634208,1.0,0.23382478108982513,0.0,0.8443552828098859,COMPLETED,GPEI,84.871168,0.6184318482243211,0.00906739813424392
4,0.684,12,12_0,4.5721904386556975,1.5873399562431447,3.3946375167600222,0.28299578996954977,0.5466455559981105,0.6495859725396489,0.898479185629387,0.42571567559476403,0.9103562421203831,COMPLETED,GPEI,59.030205,0.681805162423826,0.00937678295162088
5,0.696,13,13_0,3.615276651332744,1.2803217547681798,2.464708035855548,0.33032594755276734,0.46270848166617407,0.7629117257795522,0.6172057787116615,0.12663128732710527,0.9430315559203808,COMPLETED,GPEI,91.808246,0.6983400734123366,0.0084283106652183
6,0.722,14,14_0,3.6519108217042375,1.0,2.0106019304322422,0.4660425385192506,0.5569217849735013,0.9271880103851701,0.5554247019515822,0.16753355841754747,0.8494634887136313,COMPLETED,GPEI,62.79875,0.7164705148723937,0.005507348942998045
