,vol_frac,trial_index,arm_name,mu1_div_mu3,mu2_div_mu3,std1,std2,std3,comp1,comp2,comp3,trial_status,generation_method,runtime,vol_frac_pred,vol_frac_sigma
0,0.595,0,0_0,1.3029440244038901,0.48660670717557275,0.7530504643917084,0.391926908493042,0.3216787278652191,0.014276409521698952,0.44999873638153076,0.21019288897514343,COMPLETED,Sobol,92.401696,0.6048284238696346,0.01432079815696655
3,0.623,1,1_0,0.5431714480121931,1.1677451406915984,0.301076486799866,0.5678964596241712,0.551310121640563,0.6936314748600125,0.723667767830193,0.6734324553981423,COMPLETED,Sobol,79.521887,0.6294923821952121,0.014247477209343315
15,0.656,2,2_0,0.7339397134880226,0.8325488418340683,0.8188318667933345,0.22810770804062486,0.9348754538223147,0.7779522221535444,0.0022310325875878334,0.8317435374483466,COMPLETED,Sobol,252.598306,0.652093857808981,0.014273178294899623
27,0.645,3,3_0,1.4923732827107112,1.513056748857101,0.36905360165983436,0.9523031831718981,0.38883781088516123,0.45730084273964167,0.792532030493021,0.3018192434683442,COMPLETED,Sobol,232.365344,0.6468057909472288,0.014335829491927517
39,0.684,4,4_0,1.5884543781479201,0.9584798316160839,0.12618667650967838,0.7814663533121348,0.5405321567319333,0.15687277168035507,0.22098589688539505,0.8897209605202079,COMPLETED,Sobol,214.853691,0.6763868586552667,0.014344674277025614
45,0.675,5,5_0,0.8468436238666377,1.3613179810345173,0.5764017662033439,0.18361345045268535,0.782468337751925,0.6020295089110732,0.9487895788624883,0.4782392317429185,COMPLETED,Sobol,109.786711,0.6723673512230903,0.014172323924134868
46,0.623,6,6_0,0.3657915244499842,0.6390777292350929,0.5034836702980101,0.742248793784529,0.7160233668982983,0.924448873847723,0.29375667963176966,0.011334887705743313,COMPLETED,Sobol,117.802738,0.628101132721068,0.0143552715153469
47,0.63,7,7_0,1.1059743526081245,1.0412446583310764,0.9515034792013466,0.43993712970986965,0.15768093587830664,0.3696120409294963,0.5049279220402241,0.6066888282075524,COMPLETED,Sobol,153.814146,0.6327373560654863,0.014283925178152954
48,0.589,8,8_0,1.067883952210347,0.6808576496938865,0.4931810121051967,0.15588301932439208,0.6171390242874623,0.39589700661599636,0.14263460412621498,0.9711500238627195,COMPLETED,Sobol,82.733555,0.6013695736582285,0.0142493819976201
49,0.69,9,9_0,0.4969707056879997,1.6660398518045745,0.9407673223875463,0.8663384898565709,0.25569919319823387,0.8415495688095689,0.9333937177434564,0.37970613688230515,COMPLETED,Sobol,272.24636,0.7029477627512755,0.007884741414481219
1,0.708,10,10_0,0.57313021709153,1.6666666666666667,0.9593478231706051,0.7205817438302924,0.3826703953745336,0.8288355028474272,1.0,0.34951777558932856,COMPLETED,GPEI,301.975004,0.7099320968680081,0.008168268837168981
2,0.706,11,11_0,0.4209975074247483,1.6666666666666667,0.9522731398835896,1.0,0.126657814920639,0.866372328838363,0.8988069149755986,0.39562999330708476,COMPLETED,GPEI,590.480482,0.6962627254349504,0.010564172423313522
4,0.696,12,12_0,0.6287337223037215,1.6666666666666667,0.8667751716305429,0.9706583760070893,0.36881492769331725,0.7515912240273517,0.8606771467901123,0.39489742804245104,COMPLETED,GPEI,480.405007,0.6879396270140578,0.011691074996033222
5,0.717,13,13_0,0.3333333333333333,1.6666666666666667,0.9505930566934535,0.7434082671884576,0.13453959069214996,0.9281696973500161,0.948893849894073,0.3969419862939342,COMPLETED,GPEI,794.673944,0.717958927424934,0.009937251466489319
6,0.687,14,14_0,0.6259768593424845,1.6666666666666667,1.0,0.9216530757471912,0.20844147443446087,0.8930827541146491,1.0,0.16883668162726112,COMPLETED,GPEI,545.643962,0.6853341830753148,0.012119879025665045
7,0.713,15,15_0,0.35019062238547394,1.6666666666666667,1.0,0.9780486617320414,0.3879887990080002,0.9202240488279874,1.0,0.4670251385413623,COMPLETED,GPEI,386.106026,0.7012939520727313,0.010159493038334185
8,0.72,16,16_0,0.572299511896911,1.6666666666666667,0.9077453240663291,0.6267226842256327,0.346426232670883,0.7168483232130801,1.0,0.4538410460634885,COMPLETED,GPEI,898.409079,0.7176733646134735,0.007733473650548919
9,0.674,17,17_0,0.6272282144854768,1.6666666666666667,0.9496437242654993,0.7342403834718946,0.47083976018813467,0.9295301805061164,0.9099276950168618,0.26079732089368307,COMPLETED,GPEI,586.33515,0.6897470604653577,0.011388120538418768
10,0.723,18,18_0,0.4470211002248882,1.6666666666666667,1.0,0.7227719812103406,0.3926030944803103,0.6934064489849918,1.0,0.24428192801528809,COMPLETED,GPEI,1041.939119,0.7228915560634744,0.009260870849734362
