,vol_frac,trial_index,arm_name,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,trial_status,generation_method,comp3,runtime,vol_frac_pred,vol_frac_sigma
0,0.625,0,0_0,366.33192896842957,66.32796488702297,365.5496972799301,325.0388684272766,247.06338793039322,15.262133112177253,0.44999873638153076,0.21019288897514343,COMPLETED,Sobol,0.3398083746433258,37.858534,0.6248976972959902,0.0027779626500606383
3,0.595,1,1_0,157.22284470684826,193.4616993740201,401.3640163652599,143.1995559250936,927.7117537427694,778.1742699313909,0.0022310325875878334,0.8317435374483466,COMPLETED,Sobol,0.16602542996406555,106.959471,0.5949387544486118,0.0027793238768405323
15,0.631,2,2_0,21.928385235369205,122.3610654938966,229.6744427178055,713.8961611008272,684.7859372571111,924.5244249738753,0.29375667963176966,0.011334887705743313,COMPLETED,Sobol,0.694908432662487,41.616397,0.6308657546204737,0.0027793017673961055
27,0.662,3,3_0,246.92852300591767,10.099135227501392,60.48720985651016,471.67032540403306,256.3450520047918,632.6004054378718,0.3403716655448079,0.10057633183896542,COMPLETED,Sobol,0.5590520026162267,55.298339,0.661564891103016,0.0027634501444280834
39,0.635,4,4_0,392.5235194154084,86.22609846293926,410.80089908093214,614.5656390720978,817.9369739908725,308.65728729590774,0.43411483243107796,0.18198744021356106,COMPLETED,Sobol,0.383897727355361,37.848272,0.6349269693649112,0.0027762714522596007
45,0.578,5,5_0,103.9801500365138,204.09604077227414,325.49108429811895,915.171639000997,13.43483631964773,540.8449503481388,0.11137468833476305,0.8113507013767958,COMPLETED,Sobol,0.07727461028844118,36.007617,0.577975814672834,0.002779324620588846
46,0.507,6,6_0,132.28498796001077,417.70832252688706,204.87276388332248,410.37427312042564,892.2960999831557,252.14801892079413,0.4876736355945468,0.3532307092100382,COMPLETED,Sobol,0.15909565519541502,35.229698,0.5071222379638133,0.0027793267279647652
47,0.569,7,7_0,184.66061127372086,92.16870262287557,286.65629961527884,787.3252019397914,536.6092827674001,215.34709167014807,0.7696581548079848,0.13632814958691597,COMPLETED,Sobol,0.0940136956050992,36.150223,0.5690145666972919,0.002779283570550422
48,0.603,8,8_0,394.9950576201081,300.38038298487663,41.53487634845078,124.38729322329164,211.99444726202637,519.4596338849515,0.06044045276939869,0.7316782791167498,COMPLETED,Sobol,0.20788126811385155,26.886398,0.6029223985922931,0.002779326731933606
49,0.54,9,9_0,234.32494799606502,347.6768710836768,430.11309863068163,977.4432753613219,649.380119593814,421.7971954457462,0.2167010409757495,0.5484409797936678,COMPLETED,Sobol,0.23485797923058271,20.395764,0.5400545863573019,0.0027793258150007223
1,0.636,10,10_0,203.6273686005598,23.03421248689977,124.67780912832616,510.34992333144106,392.74388031760566,745.7541315948276,0.28377985388182303,0.053441966166980936,COMPLETED,GPEI,0.662778179951196,50.089453,0.6357982829421477,0.0027756987079503304
2,0.679,11,11_0,322.37820521780634,10.000000000000002,99.1532756978625,404.88130177105796,213.27228702130287,502.6694656031298,0.3410193802406906,0.13816026911131257,COMPLETED,GPEI,0.5208203506479968,130.93333,0.6785417286710759,0.0027254373094464644
4,0.432,12,12_0,190.30353050751924,10.000000000000023,10.0,496.6267102093561,114.45438779670044,702.772006433927,0.38857743301575476,0.09999546361175296,COMPLETED,GPEI,0.5114271033724923,105.711676,0.4320986226963919,0.0027766633380262164
5,0.348,13,13_0,287.25911048274025,10.0,10.0,539.1209137623686,433.568454537301,614.343416883033,0.3379172069008033,0.110767983004952,COMPLETED,GPEI,0.5513148100942447,80.227493,0.3485718604421744,0.002776875995046235
6,0.665,14,14_0,194.1993797877903,10.0,71.41816087679955,314.7986081946346,209.94157406453604,550.3712356434576,0.2654391514533578,0.049009878430239844,COMPLETED,GPEI,0.6855509701164024,53.623252,0.6647526086073632,0.002764488928680127
7,0.643,15,15_0,291.34799576144246,10.0,103.56739386913925,535.6574980824839,149.53516244054597,764.5822444388942,0.4098640109028722,0.15237433061229658,COMPLETED,GPEI,0.4377616584848312,93.817255,0.6431340215423991,0.002770763411291976
8,0.629,16,16_0,221.57287322059912,10.0,46.788126680466476,626.3189341633329,196.11886159019488,514.0736384261728,0.23483683954865311,0.029827266653569554,COMPLETED,GPEI,0.7353358937977773,67.716225,0.6287567811619386,0.0027727853461588944
9,0.674,17,17_0,247.9994959143646,18.74131007909978,84.14667751677587,477.20502996857726,345.726580450014,572.3221391040792,0.3266599439075378,0.10473240296980418,COMPLETED,GPEI,0.568607653122658,32.696371,0.673582742252917,0.0027438687348633455
10,0.628,18,18_0,310.6358482578482,10.000000000000007,79.16679506125612,372.6130671058615,21.89587033623776,619.8272372876498,0.33209520821901906,0.11660808178030475,COMPLETED,GPEI,0.5512967100006763,74.811986,0.6283216173545658,0.002769414860045677
11,0.656,19,19_0,252.27413787610513,10.000000000000044,78.10305762757548,622.5140003091642,126.62892932255131,419.46328353112324,0.2519573694314459,0.05130823262857997,COMPLETED,GPEI,0.696734397939974,36.508198,0.6558172314672595,0.002767491822193768
12,0.634,20,20_0,332.3202383518256,10.000000000000002,89.71068805681622,384.1920948502678,336.43156037018844,595.4284856061429,0.10447253759158857,0.15380037960807963,COMPLETED,GPEI,0.7417270828003317,75.49253,0.6342206265911363,0.0027681558582667363
13,0.662,21,21_0,241.26908067814088,10.000000000000005,99.60190229300807,399.94012076998587,330.58199877963756,374.1994304593078,0.4682832706527143,0.08525576960077572,COMPLETED,GPEI,0.44646095974651,36.917665,0.6620546109655242,0.002752898351980012
14,0.631,22,22_0,133.1334135107768,10.000000000000009,71.09258567093363,624.5947490079658,296.4459491475379,659.5856137232371,0.2390080406617948,0.030676969896143078,COMPLETED,GPEI,0.7303149894420622,84.726359,0.6312309032679035,0.002772675744370215
16,0.538,23,23_0,329.4759240204752,89.2558714482762,98.24771345076333,479.4258577152852,314.81768209086323,465.3593560071755,0.38290098770053077,0.08549669283113713,COMPLETED,GPEI,0.5316023194683321,41.565276,0.53826466054401,0.0027779961988006344
17,0.54,24,24_0,220.4612328219265,10.000000000000005,90.57750725278187,446.03464022668123,266.2318222874013,428.4285066267461,0.35305710955805186,0.30516830033263315,COMPLETED,GPEI,0.341774590109315,80.847155,0.5402013005170089,0.002778165022987212
18,0.635,25,25_0,289.9891709616097,10.000000000000563,79.1370045957131,428.67243355290066,336.88978796421253,479.98070842307453,0.3879604341321783,3.1503930241350173e-15,COMPLETED,GPEI,0.6120395658678186,288.232851,0.6350309786026591,0.0027709947282714277
19,0.657,26,26_0,226.68138106503798,10.000000000000139,102.4253932431608,296.5295289654675,272.0529590635252,563.580951295647,0.31015323439438364,0.07719124421829299,COMPLETED,GPEI,0.6126555213873234,78.514122,0.6570563303342256,0.002756266696169151
20,0.652,27,27_0,339.95064385703904,10.000000000001364,99.07122736847407,501.4237025695298,331.3238779980289,558.1461639150315,0.3773275185057792,0.07659958403281918,COMPLETED,GPEI,0.5460728974614015,39.02643,0.6523409477937896,0.002762768043792913
21,0.57,28,28_0,345.5820699257324,87.37269332892066,388.93400994081907,418.51661825131737,574.3165235277198,263.96646819853254,0.3560360731652639,0.29405938202935555,COMPLETED,GPEI,0.3499045448053806,85.02513,0.5701293147490605,0.002777781526314989
22,0.661,29,29_0,412.85856375326466,62.162392445907024,393.23183122097566,532.3524424809303,514.2118270354241,83.49698387564551,0.5165205725708134,0.1054774406246111,COMPLETED,GPEI,0.37800198680457553,42.075922,0.6610536983055012,0.002764175671264783
23,0.626,30,30_0,412.83860062253916,111.72415016532898,376.32096309654,523.9486096063808,766.8984787539312,191.5727682390355,0.49340928150069363,0.10961542757733225,COMPLETED,GPEI,0.39697529092197414,84.695868,0.6260198260527047,0.002776733929047501
24,0.661,31,31_0,229.09080511402973,10.000000000000076,73.7569906639158,442.4966354572336,293.25170271992295,395.70014848793375,0.3572432779386218,0.0950061973821795,COMPLETED,GPEI,0.5477505246791987,41.693081,0.6613686195958799,0.002753098755573065
25,0.642,32,32_0,417.55132468757125,42.604722807601625,418.7389373721825,672.6018802470702,580.5115186319736,129.54716619637685,0.5354178446796607,0.0966194475100086,COMPLETED,GPEI,0.3679627078103307,86.721127,0.6420183704775576,0.002774800351665694
26,0.651,33,33_0,466.74809453479924,67.27499340343661,398.25851831589114,281.08922017134995,661.1601296454173,183.31645980580572,0.3805344836321062,0.07211622987133155,COMPLETED,GPEI,0.5473492864965623,43.563273,0.6510200648218207,0.0027732467693180603
28,0.654,34,34_0,265.03813468805834,10.0,103.1429492511764,531.1760426744547,240.28860735565857,441.2261171606646,0.29394520617422026,0.12187036598222804,COMPLETED,GPEI,0.5841844278435517,46.149674,0.6541472221829748,0.002745974184496393
29,0.634,35,35_0,343.53034765812316,91.45151697699701,407.8429072687565,457.09195128040125,562.2243092433695,106.4923896868978,0.4893398541670028,0.05266740544288134,COMPLETED,GPEI,0.45799274039011584,37.815672,0.6340009983232843,0.0027742983856445533
30,0.663,36,36_0,500.0,42.12730564925228,389.8355471154873,642.245144433738,750.8615721970789,188.00124571017344,0.5129417135790365,0.1157103592313409,COMPLETED,GPEI,0.3713479271896226,31.416121,0.6629446646277973,0.0027706890035821513
31,0.702,37,37_0,289.45165223246846,10.0,95.5343586126655,293.5210244731868,353.93978858043096,575.3840318936594,0.46017988874191706,0.13400977818338075,COMPLETED,GPEI,0.40581033307470216,40.382311,0.701549651522602,0.002678884816467412
32,0.66,38,38_0,500.0,77.5578281681276,399.19797187900576,568.7548016938257,396.50787905946976,394.6871616971388,0.5666092632172365,0.0981497204374473,COMPLETED,GPEI,0.3352410163453162,33.171758,0.659894717888598,0.0027742460865650617
33,0.641,39,39_0,380.3060543362669,52.712834562644915,393.98289374281245,641.2814041307578,697.6033349022122,1.0,0.20531459059299223,0.08003483009721238,COMPLETED,GPEI,0.7146505793097954,39.883891,0.6409524624712208,0.0027730567887946584
34,0.66,40,40_0,418.8909224303433,53.238176717477785,397.99372348016817,303.05331024115117,766.8629098066021,1.000000000000006,0.7233045778134977,0.12264308026257743,COMPLETED,GPEI,0.15405234192392492,32.387503,0.6599199167884171,0.0027719154052404816
