,vol_frac,trial_index,arm_name,mu1_div_mu3,mu2_div_mu3,std1_div_mu3,std2_div_mu3,std3_div_mu3,comp1,comp2,trial_status,generation_method,comp3,runtime,vol_frac_pred,vol_frac_sigma
0,0.471,0,0_0,36.36585675477982,5.765452418476342,72.56171148693561,32.43767443943024,24.632477143406867,0.014276409521698952,0.44999873638153076,COMPLETED,Sobol,0.5357248540967703,69.360917,0.4731818550068702,0.021814904043683508
3,0.558,1,1_0,12.766783818379043,24.271632192376998,76.21301937078684,15.903667538527401,71.17648384783044,0.6324406489729881,0.042534369975328445,COMPLETED,Sobol,0.3250249810516834,45.073075,0.5553428355076155,0.021953727434056138
15,0.328,2,2_0,49.855629151333126,18.732710762228816,8.827626473244282,72.81345151212066,36.79095435055718,0.1499057663604617,0.2144140601158142,COMPLETED,Sobol,0.6356801735237241,91.463848,0.333658621430847,0.021938491657741054
27,0.444,3,3_0,0.8275174271315336,12.2241048755683,42.291066436747094,75.72425708923116,84.01758123812638,0.516113662160933,0.30937592312693596,COMPLETED,Sobol,0.17451041471213102,54.244641,0.4474524762772768,0.021903393421155822
39,0.439,4,4_0,30.03365068072453,19.256425275113433,47.96581123773382,2.149484926683828,94.1487622977104,0.3783045746386051,0.1598402764648199,COMPLETED,Sobol,0.461855148896575,66.758865,0.44099187015136243,0.021931003439759497
45,0.655,5,5_0,43.13307372162119,6.306326249148696,83.42859407453798,92.21315246505849,56.307494368571795,0.27000752557069063,0.4266891609877348,COMPLETED,Sobol,0.3033033134415746,63.769358,0.625976363118501,0.0192073770812286
46,0.595,6,6_0,7.771165300309657,12.789959400836377,68.47064485893398,59.248093010896824,9.8146111287307,0.9037939077243209,0.08171209879219532,COMPLETED,Sobol,0.014493993483483791,41.360065,0.5922394658662923,0.02182115464363404
47,0.565,7,7_0,34.09026313044131,43.70736270084977,18.435285448972135,23.68832185267098,77.62235669963248,0.24322772771120071,0.694637194275856,COMPLETED,Sobol,0.06213507801294327,38.557057,0.5626617794223766,0.021948642212521113
48,0.558,8,8_0,7.987204686570911,40.893930515367536,45.226100724242634,40.23257691534982,72.94068411551974,0.3060537837445736,0.4874042207375169,COMPLETED,Sobol,0.20654199551790953,59.023413,0.5559324076934195,0.02194864218142724
49,0.608,9,9_0,17.7125495891273,9.133140469156205,53.671517610998826,71.21313382462412,92.25077220865339,0.2070703962817788,0.6257130866870284,COMPLETED,Sobol,0.16721651703119278,32.345965,0.603765627047933,0.021591880715162635
1,0.585,10,10_0,34.92278105367358,6.5967314992140516,80.59708530958208,90.61822254822772,72.84715344619737,0.25737029949365114,0.540346279038833,COMPLETED,GPEI,0.20228342146751577,86.700906,0.588114850098362,0.020774098279247925
2,0.592,11,11_0,47.60286758222917,4.6219656006459955,99.09419522387398,100.0,52.17558261126577,0.36117222319966,0.3538409427772155,COMPLETED,GPEI,0.2849868340231245,108.189723,0.5891549817754907,0.02133038257764223
4,0.512,12,12_0,48.359158346578226,3.492210761664361,82.23529385085877,100.0,49.57167974747743,0.12348101820858741,0.5236381361151032,COMPLETED,GPEI,0.3528808456763094,87.927335,0.5115897261266389,0.021573699332416738
5,0.556,13,13_0,36.84301964230146,11.631900949361489,83.63261572423927,85.86922609300498,51.97341298133729,0.42297415351513734,0.3612071761649898,COMPLETED,GPEI,0.21581867031987279,68.519002,0.5601110868040616,0.02146915696956499
6,0.298,14,14_0,45.855403094634354,0.9122583327861667,82.73318435425156,87.74008643269853,74.7218278489394,0.24946115667692464,0.30157802605380984,COMPLETED,GPEI,0.4489608172692655,95.451333,0.2941228275917445,0.021638459955007603
7,0.593,15,15_0,49.56793316933889,15.565781834761767,84.4462853584811,89.17990376598873,59.51328409333988,0.29523483685303475,0.5425865404815563,COMPLETED,GPEI,0.16217862266540894,72.849143,0.5921461885031734,0.021775630900124285
8,0.0,16,16_0,35.496440645057035,0.02,79.09793429947823,99.55908316056,44.20168650940999,0.2724599797489888,0.38173121214721745,COMPLETED,GPEI,0.3458088081037938,50.579108,0.019000747152825737,0.02172251020943284
9,0.573,17,17_0,22.87916325454409,19.900533255187742,67.05840366909113,69.08667688399738,90.16417559572986,0.1933795462220556,0.73797269302489,COMPLETED,GPEI,0.06864776075305445,25.368706,0.5706199264062766,0.0218957750403389
10,0.451,18,18_0,36.994028554242476,7.6184626252312135,100.0,89.990941960381,61.55301235265619,0.23372900706931754,0.34557997977692156,COMPLETED,GPEI,0.4206910131537609,61.478157,0.4577925926865435,0.021244142724799773
11,0.522,19,19_0,49.99999999999999,7.305640886100412,89.47210894595808,100.0,54.44275849734086,0.2910583450809479,0.5383429259565479,COMPLETED,GPEI,0.17059872896250416,93.331635,0.5344266479154653,0.020976717599220828
12,0.358,20,20_0,49.99999999999999,7.284223925608347,73.45034781597073,96.08052971842504,67.61079848327621,0.2538783486515515,0.27321545709983913,COMPLETED,GPEI,0.47290619424860936,124.620415,0.3742560569608573,0.021430003258617603
13,0.686,21,21_0,47.86038774650064,6.467734345537595,72.08594907454962,84.92538548661314,50.109388107275144,0.445209389517448,0.5411564331854631,COMPLETED,GPEI,0.013634177297088934,90.085274,0.6712089602296044,0.020337993810004482
14,0.678,22,22_0,35.701075606156415,9.442180622973513,52.914073252745744,84.33843254016577,66.78780917768344,0.2157688171638132,0.6946179939423216,COMPLETED,GPEI,0.08961318889386516,62.398945,0.6727441577433328,0.019794304412185774
16,0.631,23,23_0,29.639189817307685,16.254746039048882,85.25283033276233,78.89646121986672,72.98329910508258,0.3127204912128875,0.65769749226718,COMPLETED,GPEI,0.02958201651993253,32.240812,0.6296386814158864,0.02153618570258742
17,0.666,24,24_0,27.04858453507217,13.590129958282613,80.3430585575341,70.41343283751303,17.685843038267848,0.7419944788517138,0.23942840634174475,COMPLETED,GPEI,0.01857711480654145,62.305694,0.664948748704195,0.020789356756922162
18,0.672,25,25_0,41.24880185517083,10.349059206283941,71.74087539729558,71.34328930883402,63.10716502262361,0.3631018692702704,0.6368981307297296,COMPLETED,GPEI,0.0,244.382748,0.6621288215555605,0.020465694088822966
19,0.664,26,26_0,36.039320692526495,12.74820134148619,60.72442325913819,96.7970166617876,80.24807034536163,0.3516245413843443,0.6483754586156559,COMPLETED,GPEI,-2.220446049250313e-16,361.683809,0.659006727699309,0.02107329369598381
20,0.607,27,27_0,38.43798294953073,5.849539742953475,76.13258717654153,85.05919897055676,41.24415592193012,0.3608830097265582,0.5427130670002496,COMPLETED,GPEI,0.09640392327319225,106.648249,0.6184300693356551,0.020412613273941962
21,0.673,28,28_0,34.9513880659386,7.5554792848369505,47.23624049181382,75.97435861518919,54.57167372669842,0.30424623844867066,0.6957537615513293,COMPLETED,GPEI,0.0,217.764458,0.6672497704909639,0.02064404041496638
22,0.611,29,29_0,27.70629329693553,11.204889538702583,55.21620836104024,80.43712393898134,72.23822716055196,0.18935487319736902,0.810645126802631,COMPLETED,GPEI,0.0,329.068009,0.6122986605198141,0.021067986250452496
23,0.662,30,30_0,25.6689216424649,14.810774045681384,89.8152731064668,72.70599813563929,34.97704709294544,0.5450764353018152,0.45492356469818485,COMPLETED,GPEI,0.0,257.188496,0.6648324434153512,0.020353061056375563
24,0.645,31,31_0,40.524263693644954,8.23964664870593,42.55654299513779,81.65640673003278,89.46351119821652,0.22180851638801893,0.7781914836119811,COMPLETED,GPEI,0.0,428.158685,0.6421363352289778,0.02111489303404435
25,0.61,32,32_0,21.967009639121418,9.567153583469489,47.00777733165064,99.55556625854226,55.90492109288577,0.2993029627422045,0.7006970372577954,COMPLETED,GPEI,0.0,354.615282,0.6118051229445125,0.021245706934824006
26,0.618,33,33_0,38.61958458925566,10.422001656387021,46.25490246760003,58.40444471133533,73.25300421793227,0.27195261527851383,0.7094376939725635,COMPLETED,GPEI,0.018609690748922603,37.665789,0.6245819439448927,0.020757046200728987
28,0.667,34,34_0,33.96738360568563,9.548635325921161,54.58301518990007,70.33700068042538,41.69793709618761,0.420100598845068,0.579899401154932,COMPLETED,GPEI,0.0,399.699468,0.6634027153860937,0.020635122678048786
29,0.61,35,35_0,43.86210674347563,7.75549188125355,68.86202920267925,61.85003801996307,62.79178663261921,0.3351367827222406,0.6648632172777593,COMPLETED,GPEI,0.0,363.331864,0.6161853067628472,0.02078890375800918
30,0.594,36,36_0,49.91788534061375,8.924263774652756,41.12363859600408,77.4851737293643,45.50212711846971,0.3620735788003134,0.6379264211996867,COMPLETED,GPEI,0.0,286.27488,0.5950619251669897,0.02142896896294091
31,0.633,37,37_0,33.78322516093495,12.816828116250187,81.54523446644166,76.49067704282695,59.59537182955183,0.26190330597868794,0.7380966940213121,COMPLETED,GPEI,0.0,287.491797,0.6348118468193039,0.020815841987511095
32,0.64,38,38_0,29.42665009645733,12.991611627493917,58.90975152337296,81.4428835183375,37.42908077008088,0.3959284494821543,0.6040715505178454,COMPLETED,GPEI,2.220446049250313e-16,336.430181,0.6421542397997995,0.020831022184015786
33,0.642,39,39_0,35.239584292402405,13.234814588839633,81.0187846584377,61.56260405978868,81.80417108772998,0.42367204766254396,0.576327952337456,COMPLETED,GPEI,0.0,378.840665,0.6433249608425746,0.021104260437274806
34,0.618,40,40_0,16.260570401595416,14.278141818845494,94.15016463026754,86.77317306243738,3.748340608873169,0.6476842975877515,0.3523157024122486,COMPLETED,GPEI,0.0,382.212266,0.6172275337855546,0.02137154097716348
35,0.664,41,41_0,30.25160786692532,14.027791817045685,99.04439580036282,41.3870107839947,27.47669344986186,0.6903911865236478,0.3096088134763522,COMPLETED,GPEI,0.0,252.063589,0.6637525470992132,0.020872678159485368
