,vol_frac,trial_index,arm_name,mu1_div_mu3,mu2_div_mu3,std1_div_mu3,std2_div_mu3,std3_div_mu3,comp1,comp2,comp3,trial_status,generation_method,runtime,vol_frac_pred,vol_frac_sigma
0,0.531,0,0_0,10.27868073761463,17.93561527431011,63.09267784893513,54.92490082955361,2.8509414772242305,0.2932208180427551,0.27152377367019653,0.6113385558128357,COMPLETED,Sobol,42.262854,0.5305860204815331,0.006299253529931747
3,0.648,1,1_0,32.46388018131256,28.072413611486553,26.56353345853463,36.12274991435558,60.887621388522916,0.9384170230478048,0.6718341466039419,0.36393014807254076,COMPLETED,Sobol,331.777372,0.6481498053292253,0.006278680063557649
15,0.59,2,2_0,44.32948403306305,4.383369566500186,91.27830006259121,98.03605533785559,84.2417812086083,0.5778985284268856,0.08588675409555435,0.23276318330317736,COMPLETED,Sobol,68.902274,0.5898983405421786,0.006303859808372819
27,0.643,3,3_0,21.949496092889458,37.93599295893684,4.616653251221403,16.448443468566985,29.392406546371056,0.15963301248848438,0.9824740318581462,0.9774850811809301,COMPLETED,Sobol,216.352448,0.6424677968197028,0.006282737754919492
39,0.546,4,4_0,15.362256393488495,8.381951012387871,48.442754899665715,4.925704417550937,41.09322069096752,0.47250131610780954,0.18438832182437181,0.04634636081755161,COMPLETED,Sobol,42.670196,0.545742087538568,0.006304519914421396
45,0.673,5,5_0,43.01049380686134,49.750514836926016,61.91270960000531,86.1219419492297,95.95921130572631,0.7650340413674712,0.7550633605569601,0.7908851215615869,COMPLETED,Sobol,245.657206,0.6721104391644063,0.0062378594794486875
46,0.66,6,6_0,29.874276082552967,20.188811869714407,20.382968799138443,48.03686926332676,72.58578913982026,0.6253121020272374,0.49722547084093094,0.6749826679006219,COMPLETED,Sobol,219.938371,0.6597224068247881,0.0062608107272306745
47,0.454,7,7_0,2.030489260684699,34.99320591628552,83.71839947225712,66.44763289579004,14.559574104726316,0.10633717756718397,0.5672290651127696,0.42726912535727024,COMPLETED,Sobol,71.055512,0.4540639476855892,0.006301786119055591
48,0.0,8,8_0,5.353918084297328,0.025465980097651483,18.683519301053135,78.31105624869093,52.541140738526366,0.24519944563508034,0.18812201917171478,0.1053752526640892,COMPLETED,Sobol,11.263987,0.001939981613258146,0.0063051978463347525
49,0.658,9,9_0,26.953518157377836,41.49164699213579,80.34557111942023,9.614528484681623,10.190752965833992,0.5231014434248209,0.8685152782127261,0.8567499546334147,COMPLETED,Sobol,237.731484,0.6574602421111229,0.006267433801164603
1,0.627,10,10_0,36.391221200519595,36.30693928324765,42.271290134716324,56.495683165225735,74.90432358511005,0.7352233938064726,0.6857710725226237,0.700657495900625,COMPLETED,GPEI,229.204507,0.6278618461454449,0.006267618944378391
2,0.649,11,11_0,27.284662125573274,30.941431936441234,33.299436102103854,17.848924698405714,35.938488195037976,0.5440608365793408,0.7659759379993125,0.7604737972180058,COMPLETED,GPEI,184.505092,0.6495639324884673,0.00625951812154095
4,0.669,12,12_0,35.5952149162138,16.443531660908942,6.508167693979147,30.65933650997,78.67014795424518,0.92294671981074,0.48675709738956763,0.5442383752398564,COMPLETED,GPEI,217.079162,0.668541303294811,0.006259772305074463
5,0.603,13,13_0,24.287957603910325,46.40170594650703,49.86207337886634,6.458114730348717,8.003914075473288,0.22976643395533677,1.0,1.0,COMPLETED,GPEI,220.928549,0.6033417768925738,0.006277163028813269
6,0.673,14,14_0,42.51597549074518,34.68600742476388,54.63341289750068,92.58939963154153,100.0,0.7834449945283088,0.5278157310543474,0.6216028390887158,COMPLETED,GPEI,354.310191,0.6728246081491746,0.006255079253529193
7,0.666,15,15_0,27.839003923339376,32.039217928356265,0.002,43.46547907544728,65.57096092288249,0.43305402373030305,0.7918237016346938,0.8050249773568797,COMPLETED,GPEI,374.95416,0.6654049497985012,0.00627085221267458
8,0.675,16,16_0,33.76547461122272,17.042644914008456,52.52286607183126,34.81945300219715,58.46473694427616,0.8558754471904161,0.4007427720791199,0.5835206062919994,COMPLETED,GPEI,435.702229,0.6747151008125317,0.006259908397349303
9,0.608,17,17_0,45.23747480577948,50.0,88.21423129134887,85.48739861007785,91.02268158583169,0.7514043468582704,1.0,1.0,COMPLETED,GPEI,208.984919,0.6082451796528161,0.006287259982382427
10,0.644,18,18_0,31.566456516950222,43.84377037123841,63.348322257503945,30.390988783763362,38.270314391160554,0.767777116752498,0.8774139212232682,0.6242600178878138,COMPLETED,GPEI,275.089722,0.6437694825831697,0.00628113549535524
11,0.668,19,19_0,30.476822644917178,37.11124871632858,19.697436255694125,17.151250280051112,70.20708931989199,0.5496586170180672,0.5458068809120635,0.5372584396102954,COMPLETED,GPEI,397.622423,0.6675538782360515,0.006274706304639281
12,0.637,20,20_0,31.001217038314035,17.503656043574136,9.021991571291196,35.218908596179986,54.26340872977147,0.9348394447413593,0.7506841742093495,0.7790119568843906,COMPLETED,GPEI,340.284574,0.6374158684654794,0.006274994829598728
13,0.623,21,21_0,45.28134323954348,16.25754247120217,31.218881845024562,28.1790995736017,70.3384526211992,0.6200465352496335,0.6760347417310579,0.5214000484044438,COMPLETED,GPEI,457.939055,0.623192399580807,0.006291767014509293
14,0.65,22,22_0,35.682837625827325,31.55248391497319,1.6418902921072285,37.02187782555819,49.898774934179656,0.8583314241802891,0.3391811682130149,0.72479896535269,COMPLETED,GPEI,206.766935,0.649804856117697,0.006280482259331767
