,vol_frac,trial_index,arm_name,mu1_div_mu3,mu2_div_mu3,std1_div_mu3,std2_div_mu3,std3_div_mu3,comp1,comp2,trial_status,generation_method,comp3,runtime,vol_frac_pred,vol_frac_sigma
0,0.456,0,0_0,44.92607015028596,30.87600002273917,24.26896108705923,69.5860476677455,77.75985413514823,0.22842429298907518,0.29795255418866873,COMPLETED,Sobol,0.4736231528222561,68.940354,0.45628563214332674,0.003517178772942301
3,0.494,1,1_0,12.489832324087619,49.54797501763329,14.016672517012806,32.57457844807022,94.03172719315253,0.5510642314329743,0.07800162862986326,COMPLETED,Sobol,0.3709341399371624,75.405052,0.494280365592909,0.0035168808526988274
15,0.43,2,2_0,47.154574738703666,35.018728563450274,52.28177016757243,52.5851019169651,67.80832915072702,0.17591214552521706,0.0011001275852322578,COMPLETED,Sobol,0.8229877268895507,79.630572,0.4303332229440163,0.00351785483783924
27,0.598,3,3_0,13.637365989331155,32.90235430136323,33.951241629807285,65.57256424644962,98.83130285710283,0.6389571502804756,0.22903720382601023,COMPLETED,Sobol,0.13200564589351416,54.343932,0.5983777135462924,0.003497122833902318
39,0.544,4,4_0,5.493706564102321,8.49559701848775,55.22950185309723,75.91199418188259,95.76552336710691,0.11927623953670263,0.48183018062263727,COMPLETED,Sobol,0.3988935798406601,39.953586,0.5440368594028362,0.003517835325590016
45,0.548,5,5_0,42.98255897503346,36.73158271446824,1.1616988841500133,17.412082103550432,96.5430280560553,0.0016466816887259483,0.6827558549121022,COMPLETED,Sobol,0.31559746339917183,59.37758,0.5480538824184339,0.0035183726251522035
46,0.556,6,6_0,32.5136739529483,45.663932265844196,46.85425043023005,84.44249518360384,97.89580757552012,0.18328590504825115,0.529736696742475,COMPLETED,Sobol,0.2869773982092738,70.04041,0.5559709016000658,0.00351744378684432
47,0.596,7,7_0,37.05765555517748,26.221400655265896,9.895018235268072,30.818507160022854,70.52885619984194,0.7581650353968143,0.22423137724399567,COMPLETED,Sobol,0.017603587359189987,34.466746,0.5967155297291302,0.003499218264622623
48,0.526,8,8_0,4.7685778901726,29.583593959491697,58.08456413925998,62.18198142201454,78.85791364305466,0.5322750685736537,0.23160230182111263,COMPLETED,Sobol,0.23612262960523367,52.171552,0.5261961799146343,0.003514529936112818
49,0.485,9,9_0,44.210853766966615,6.669644492734223,15.548436082711445,93.49652050431072,98.37757613694667,0.6745880404487252,0.04818621277809143,COMPLETED,Sobol,0.27722574677318335,56.012756,0.4852518785564252,0.0035181064704937932
1,0.652,10,10_0,23.090538092665245,27.701368253838055,21.6418159440844,51.03050099029459,89.45249703475132,0.7559244172115221,0.24407558278847793,COMPLETED,GPEI,0.0,221.309808,0.6514054165272821,0.0034945890857685
2,0.623,11,11_0,15.553712570130722,35.28740257868088,29.793840342642003,83.61882681866155,100.0,0.6377731683715792,0.3622268316284209,COMPLETED,GPEI,0.0,334.231536,0.6226309938654943,0.003512693635482894
4,0.65,12,12_0,37.028445716145555,23.35840203988986,0.002,14.082256084792357,64.47060752846195,0.8452096649373007,0.15479033506269946,COMPLETED,GPEI,0.0,276.034295,0.649809291445018,0.003496182904555389
5,0.652,13,13_0,11.197472350363618,29.30005931727964,30.495809745718983,69.70405103755607,100.0,0.8074337577748907,0.08969288981236656,COMPLETED,GPEI,0.10287335241274276,76.185232,0.651264469223948,0.003455388728440917
6,0.64,14,14_0,13.763680015071202,27.61459102172201,23.32547523892174,59.36497581901961,100.0,0.5463403808514066,0.45365961914859343,COMPLETED,GPEI,0.0,260.21342,0.6397245464925245,0.003506072363758507
7,0.658,15,15_0,40.482389315941816,33.620070059704204,6.953198599719568,37.5587855783242,62.05059938512795,0.881528446662366,0.11847155333763405,COMPLETED,GPEI,0.0,298.351546,0.6571028493296528,0.0034776118094898677
