,vol_frac,trial_index,arm_name,mu1_div_mu3,mu2_div_mu3,std1_div_mu3,std2_div_mu3,std3_div_mu3,comp1,comp2,comp3,trial_status,generation_method,runtime,vol_frac_pred,vol_frac_sigma
0,0.595,0,0_0,27.54704335739836,23.724870288856327,1.4352632723171264,8.608905177628623,80.81115417701005,0.5285786595195532,0.4321420229971409,0.6990327965468168,COMPLETED,Sobol,32.355129,0.5950540345838238,0.014791455800198604
3,0.685,1,1_0,13.652109817583113,34.842906498443334,41.501592629456894,50.613777416074655,85.03385009435006,0.39696813002228737,0.9061779519543052,0.9402158930897713,COMPLETED,Sobol,388.652366,0.6842972339927768,0.014794425096459618
15,0.441,2,2_0,21.62080216232687,2.2671262890845534,8.575392484445127,71.20658470899984,88.94415071914345,0.02364157047122717,0.125375896692276,0.20373715739697218,COMPLETED,Sobol,55.663558,0.44175463623648725,0.014794736784993618
27,0.508,3,3_0,18.037836428713053,39.06747229754925,5.730170821450651,25.79997653629631,73.30729433610476,0.6323464652523398,0.09223651420325041,0.4868636457249522,COMPLETED,Sobol,61.689239,0.5083815175348928,0.014794672027571863
39,0.622,4,4_0,23.296456852853296,22.25162485187873,44.296449002413084,46.02657146168314,50.671686361223465,0.7595767118036747,0.8144403882324696,0.7196500226855278,COMPLETED,Sobol,190.443787,0.6217408960866507,0.014793034655003052
45,0.627,5,5_0,26.559286181461065,8.466459119915962,79.58706307527609,89.16032126637548,93.80622479409911,0.32113828510046005,0.7857379326596856,0.4789885301142931,COMPLETED,Sobol,262.599692,0.6266157577147068,0.014794596777350484
46,0.68,6,6_0,40.31434792144224,12.840925378222018,7.352331032356248,41.216653667388485,63.46403110739776,0.4865797618404031,0.6462223380804062,0.7590408930554986,COMPLETED,Sobol,380.649783,0.6794173740464162,0.014767511166663277
47,0.672,7,7_0,49.32400468174368,25.431827941928056,3.727967448072508,61.62208176776954,97.82616820523143,0.8573660412803292,0.573894421570003,0.5424122670665383,COMPLETED,Sobol,405.744625,0.671574077418158,0.014785224501418618
48,0.698,8,8_0,42.18563040645793,11.727051608301698,46.20252429982648,66.4438050503023,75.17526356300152,0.7223928514868021,0.33217400684952736,0.3057005796581507,COMPLETED,Sobol,208.590514,0.6973932981455927,0.014743317657864722
49,0.731,9,9_0,6.039362545516341,47.02379538832233,12.42918410018459,24.026571539774537,84.07812335205823,0.3520797863602638,0.8606376787647605,0.04687939211726189,COMPLETED,Sobol,393.257821,0.7289936995645641,0.014718547999757138
1,0.727,10,10_0,7.390296214762301,45.398993269938664,21.646294238001072,32.03403240028492,86.25921321472777,0.3382935791299153,0.9821665869169826,0.25384957787030327,COMPLETED,GPEI,243.023867,0.7269067882039336,0.014729815438028229
2,0.0,11,11_0,0.020000000000000746,50.0,0.002,8.205504086615695,82.41510712406404,0.3193310803793964,0.865226810570485,0.0,COMPLETED,GPEI,43.510678,0.0030189336226217334,0.014789506990588164
4,0.654,12,12_0,15.578166580096639,50.0,7.417252434399992,33.79452446868599,85.72618357025732,0.4297314688426922,0.8481922321449907,0.0,COMPLETED,GPEI,286.018251,0.6534426241370944,0.014793534658724834
5,0.0,13,13_0,0.02,44.60087800218978,28.075326232518545,28.075326232518545,79.55107822597394,0.26630741642867023,0.7662660370349897,2.7412966701696664e-17,COMPLETED,GPEI,49.70565,0.0030732163762485776,0.01478936173039599
6,0.693,14,14_0,45.97346088425575,16.74886383244981,41.70104557928991,60.040463666082786,78.16184074582878,0.7029850401158158,0.6923821266878649,0.6357366365056655,COMPLETED,GPEI,275.510106,0.6922989022775188,0.014775921888896402
7,0.682,15,15_0,28.552730674704797,28.571547720661947,13.239793200719166,53.585191589489035,91.37435930747911,0.40067723791419346,0.8191067717690236,0.9252756367091949,COMPLETED,GPEI,179.24176,0.681297043206139,0.014793021451033075
8,0.719,16,16_0,42.520543934467725,9.712165754768753,2.4936056521801553,44.13862113296603,63.092665728219245,0.8110616277383891,0.43516144317068134,0.43218685202589713,COMPLETED,GPEI,277.684402,0.7184080505770993,0.014733665338368368
9,0.657,17,17_0,27.812042717159446,16.160798203858153,27.759538191751012,28.856516025729494,50.86177551120235,0.3047911376978701,0.72535244550044,0.9747559183329746,COMPLETED,GPEI,285.191872,0.65653768009614,0.014793040574628116
10,0.661,18,18_0,47.86813593422561,26.94149059757417,26.81056960566061,84.30450471745436,100.0,0.8315342358063449,0.23169702278277005,0.2252352758957595,COMPLETED,GPEI,393.61766,0.6607263039287926,0.014783693504170066
11,0.656,19,19_0,31.871218555656274,18.36614520738626,31.5504020260477,80.4608695571447,100.0,0.6398652929224762,0.7046209962485045,0.5026642456304461,COMPLETED,GPEI,229.567435,0.6555592174632884,0.014793456655254425
12,0.653,20,20_0,8.904727715065084,47.13653166055883,6.802613845883607,22.971582451198607,84.6056300993394,0.39837864741689594,0.8115470456219699,0.0,COMPLETED,GPEI,265.552415,0.6546299989654215,0.014712524793589466
13,0.727,21,21_0,7.527811427668418,50.0,0.002,57.83486120839599,100.0,0.32297428392689564,0.96867089196195,1.3016893456676394e-17,COMPLETED,GPEI,524.049719,0.7261984365702665,0.014726767092163823
