,vol_frac,trial_index,arm_name,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,trial_status,generation_method,comp3,runtime,vol_frac_pred,vol_frac_sigma
0,0.594,0,0_0,1.4084607250988483,1.7285348661243916,2.4643546231091022,0.388239667378366,0.4918267295695842,0.4951197060756386,0.24850640073418617,0.16041363589465618,COMPLETED,Sobol,0.5910799633711576,26.159116,0.5944370986536275,0.007933828193543898
3,0.633,1,1_0,4.08510896936059,1.3048631735146046,4.418430108577013,0.6474172614514828,0.6509050954133272,0.6975265375338495,0.011353542096912861,0.04000372905284166,COMPLETED,Sobol,0.9486427288502455,72.45399,0.6329070600788428,0.00786365202234473
15,0.602,2,2_0,2.1593144349753857,1.9700779132544994,4.50466924905777,0.2119937900453806,0.4345027127303184,0.643976001534611,0.6394248912110925,0.11639813147485256,COMPLETED,Sobol,0.24417697731405497,20.586017,0.6000692263242534,0.007864604263316446
27,0.562,3,3_0,2.809189572930336,3.7459869123995304,1.797052688896656,0.19028970254585148,0.3038138520903886,0.9163084863685071,0.20196485426276922,0.6139285806566477,COMPLETED,Sobol,0.1841065650805831,15.186455,0.5634389342009014,0.007947792943065088
39,0.572,4,4_0,4.376480381935835,3.870992422103882,4.940895799547434,0.28394667292013764,0.34950819956138734,0.3523846759460867,0.06743274070322514,0.6376932300627232,COMPLETED,Sobol,0.2948740292340517,27.120546,0.5737005744349059,0.00796553531042057
45,0.628,5,5_0,4.043710947036743,2.9878942668437958,2.638522434979677,0.32164859743788843,0.46621578838676214,0.8793047425337136,0.8017473826184869,0.19399692676961422,COMPLETED,Sobol,0.004255690611898899,24.295102,0.6275865428929018,0.007624250145537853
46,0.639,6,6_0,4.323720417916775,3.1433491222560406,3.097357664257288,0.4475470227189362,0.594452253356576,0.9119080911390484,0.4729427946731448,0.3155300794169307,COMPLETED,Sobol,0.2115271259099245,40.486812,0.6406585815588918,0.006966579172066118
47,0.556,7,7_0,2.642435844987631,2.612899783998728,3.62358271330595,0.16668453654274346,0.18144825231283904,0.5018927079625428,0.936765868216753,0.06146962195634842,COMPLETED,Sobol,0.0017645098268985748,22.669446,0.5589749008700893,0.00788940174018176
48,0.574,8,8_0,1.9684613235294819,3.6551185809075832,2.3820929527282715,0.2711393478326499,0.6596764410845936,0.7285564813762904,0.5631787125021219,0.1189034003764391,COMPLETED,Sobol,0.317917887121439,27.440635,0.5732183571077237,0.007853001720509423
49,0.641,9,9_0,2.484828770160675,2.919595677405596,4.981909211724997,0.5879162891767921,0.9700649682432413,0.9999810149893165,0.23253366723656654,0.38342144526541233,COMPLETED,Sobol,0.3840448874980211,29.25428,0.6396799441088878,0.007097332179288844
1,0.621,10,10_0,3.48618428836992,2.4888962194085895,4.375051402688717,0.572020230812687,0.7929980543935933,0.9213829124824566,0.27904607851417196,0.2662160412182855,COMPLETED,GPEI,0.4547378802675426,100.263997,0.6239349542054712,0.007587609923188263
2,0.672,11,11_0,4.677181425783029,2.4658853865503865,3.151316654795138,0.4734266772178123,0.5784390793045479,0.9157888905199537,0.5975429521102451,0.1605838087805156,COMPLETED,GPEI,0.2418732391092393,74.401908,0.6657189245953432,0.004784952996322021
