,vol_frac,trial_index,arm_name,mu1_div_mu3,mu2_div_mu3,std1,std2,std3,comp1,comp2,comp3,trial_status,generation_method,runtime,vol_frac_pred,vol_frac_sigma
0,0.665,0,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,75.2998,0.665,
2,0.661,1,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,90.148885,0.661,
13,0.665,2,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,93.626136,0.665,
24,0.665,3,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,96.925473,0.665,
35,0.661,4,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,98.106296,0.661,
46,0.65,5,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,83.417073,0.65,
57,0.656,6,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,77.232773,0.656,
68,0.655,7,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,99.687952,0.655,
79,0.658,8,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,103.929953,0.658,
90,0.654,9,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,80.394616,0.654,
1,0.653,10,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,79.047604,0.653,
3,0.651,11,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,89.44094,0.651,
4,0.66,12,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,101.61405,0.66,
5,0.659,13,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,78.86368,0.659,
6,0.656,14,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,105.153945,0.656,
7,0.656,15,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,100.969112,0.656,
8,0.664,16,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,105.923949,0.664,
9,0.659,17,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,81.462215,0.659,
10,0.656,18,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,114.38413,0.656,
11,0.652,19,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,109.6904,0.652,
12,0.656,20,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,107.614748,0.656,
14,0.652,21,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,92.529047,0.652,
15,0.661,22,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,81.393683,0.661,
16,0.654,23,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,75.784843,0.654,
17,0.652,24,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,77.961545,0.652,
18,0.651,25,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,85.006774,0.651,
19,0.651,26,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,65.689066,0.651,
20,0.663,27,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,89.676394,0.663,
21,0.654,28,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,82.351498,0.654,
22,0.66,29,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,94.764646,0.66,
23,0.66,30,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,91.679152,0.66,
25,0.658,31,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,101.012747,0.658,
26,0.659,32,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,106.649911,0.659,
27,0.656,33,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,74.226705,0.656,
28,0.651,34,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,94.037876,0.651,
29,0.654,35,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,79.057483,0.654,
30,0.659,36,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,94.590486,0.659,
31,0.658,37,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,95.364517,0.658,
32,0.658,38,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,80.00806,0.658,
33,0.662,39,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,83.301517,0.662,
34,0.664,40,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,93.6914,0.664,
36,0.667,41,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,70.729616,0.667,
37,0.667,42,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,89.953867,0.667,
38,0.656,43,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,106.473485,0.656,
39,0.662,44,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,77.732971,0.662,
40,0.66,45,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,81.510747,0.66,
41,0.66,46,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,81.72906,0.66,
42,0.648,47,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,93.50496,0.648,
43,0.666,48,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,88.814715,0.666,
44,0.66,49,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,77.88292,0.66,
45,0.664,50,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,76.344291,0.664,
47,0.656,51,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,98.16595,0.656,
48,0.659,52,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,79.073035,0.659,
49,0.66,53,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,81.907338,0.66,
50,0.657,54,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,99.390032,0.657,
51,0.654,55,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,92.598953,0.654,
52,0.663,56,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,98.403739,0.663,
53,0.66,57,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,91.600356,0.66,
54,0.654,58,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,83.345418,0.654,
55,0.663,59,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,85.487063,0.663,
56,0.658,60,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,84.813078,0.658,
58,0.654,61,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,95.045469,0.654,
59,0.66,62,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,80.18855,0.66,
60,0.656,63,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,99.760932,0.656,
61,0.655,64,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,106.152557,0.655,
62,0.656,65,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,75.271454,0.656,
63,0.656,66,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,101.182894,0.656,
64,0.65,67,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,98.017462,0.65,
65,0.661,68,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,98.456897,0.661,
66,0.653,69,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,75.422598,0.653,
67,0.657,70,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,75.788212,0.657,
69,0.657,71,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,80.275229,0.657,
70,0.651,72,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,72.743299,0.651,
71,0.657,73,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,94.180358,0.657,
72,0.662,74,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,79.270747,0.662,
73,0.654,75,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,99.683803,0.654,
74,0.67,76,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,101.781482,0.67,
75,0.666,77,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,102.015372,0.666,
76,0.656,78,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,105.766054,0.656,
77,0.66,79,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,79.75215,0.66,
78,0.657,80,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,97.804774,0.657,
80,0.664,81,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,94.382479,0.664,
81,0.663,82,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,78.609317,0.663,
82,0.658,83,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,82.770683,0.658,
83,0.657,84,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,104.245222,0.657,
84,0.656,85,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,92.614841,0.656,
85,0.652,86,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,80.094875,0.652,
86,0.664,87,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,93.031316,0.664,
87,0.661,88,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,74.381851,0.661,
88,0.652,89,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,91.346426,0.652,
89,0.654,90,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,78.28816,0.654,
91,0.658,91,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,95.169868,0.658,
92,0.659,92,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,80.765963,0.659,
93,0.657,93,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,92.614333,0.657,
94,0.655,94,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,85.187713,0.655,
95,0.665,95,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,86.132882,0.665,
96,0.654,96,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,80.754918,0.654,
97,0.66,97,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,94.267247,0.66,
98,0.662,98,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,98.197941,0.662,
99,0.654,99,0_0,0.5736929185023589,0.3593003219834994,0.5168966738485101,0.7524405362729331,0.47818324412895474,0.4854270981677824,0.012780814590608647,0.4873716073198716,COMPLETED,Uniform,99.332577,0.654,
