,vol_frac,trial_index,arm_name,mu1_div_mu3,mu2_div_mu3,std1,std2,std3,comp1,comp2,trial_status,generation_method,comp3,runtime,vol_frac_pred,vol_frac_sigma
0,0.621,0,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,104.066522,0.621,
2,0.621,1,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,96.633523,0.621,
13,0.616,2,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,82.878696,0.616,
24,0.621,3,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,90.439457,0.621,
35,0.621,4,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,84.229642,0.621,
46,0.62,5,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,77.581841,0.62,
57,0.619,6,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,79.315755,0.619,
68,0.62,7,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,79.425872,0.62,
79,0.615,8,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,82.263246,0.615,
90,0.622,9,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,87.907604,0.622,
1,0.623,10,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,87.331233,0.623,
3,0.617,11,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,81.259986,0.617,
4,0.62,12,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,100.283462,0.62,
5,0.617,13,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,81.806932,0.617,
6,0.623,14,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,79.258069,0.623,
7,0.623,15,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,81.05254,0.623,
8,0.619,16,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,78.643073,0.619,
9,0.622,17,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,88.292104,0.622,
10,0.622,18,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,76.827409,0.622,
11,0.619,19,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,90.872477,0.619,
12,0.621,20,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,84.649102,0.621,
14,0.612,21,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,98.79303,0.612,
15,0.618,22,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,79.431831,0.618,
16,0.62,23,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,98.003505,0.62,
17,0.618,24,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,82.099933,0.618,
18,0.618,25,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,91.300091,0.618,
19,0.621,26,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,83.715947,0.621,
20,0.62,27,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,115.703382,0.62,
21,0.622,28,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,90.880926,0.622,
22,0.623,29,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,95.77211,0.623,
23,0.622,30,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,95.777414,0.622,
25,0.62,31,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,100.843427,0.62,
26,0.622,32,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,101.260412,0.622,
27,0.619,33,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,96.513056,0.619,
28,0.622,34,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,116.437749,0.622,
29,0.623,35,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,113.169795,0.623,
30,0.622,36,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,108.870829,0.622,
31,0.618,37,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,84.685429,0.618,
32,0.62,38,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,100.757137,0.62,
33,0.614,39,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,92.629937,0.614,
34,0.623,40,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,113.341447,0.623,
36,0.619,41,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,99.380957,0.619,
37,0.624,42,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,100.234086,0.624,
38,0.621,43,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,95.790313,0.621,
39,0.625,44,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,105.91004,0.625,
40,0.618,45,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,97.867823,0.618,
41,0.621,46,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,94.951983,0.621,
42,0.622,47,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,98.328831,0.622,
43,0.62,48,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,107.840929,0.62,
44,0.62,49,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,91.761557,0.62,
45,0.621,50,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,93.18807,0.621,
47,0.622,51,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,106.181321,0.622,
48,0.622,52,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,100.640476,0.622,
49,0.62,53,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,102.233021,0.62,
50,0.621,54,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,98.8567,0.621,
51,0.618,55,0_0,0.7577125664961315,1.0522665832341975,0.2991294481849839,0.825833222131843,0.4080291630532159,0.5388888490671446,0.00587378555105833,COMPLETED,Uniform,0.45523736538179704,103.691631,0.618,
