,vol_frac,trial_index,arm_name,mu1_div_mu3,mu2_div_mu3,std1,std2,std3,comp1,comp2,comp3,trial_status,generation_method,runtime,vol_frac_pred,vol_frac_sigma
0,0.5,0,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,67.989309,0.5,
2,0.5,1,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,91.315814,0.5,
13,0.513,2,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,66.466524,0.513,
24,0.494,3,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,64.771467,0.494,
35,0.5,4,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,69.695744,0.5,
46,0.494,5,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,75.333044,0.494,
57,0.517,6,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,56.991605,0.517,
68,0.509,7,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,88.229322,0.509,
79,0.509,8,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,84.077513,0.509,
90,0.509,9,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,67.312753,0.509,
1,0.508,10,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,66.495312,0.508,
3,0.511,11,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,85.004947,0.511,
4,0.523,12,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,58.936419,0.523,
5,0.515,13,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,90.895747,0.515,
6,0.515,14,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,64.400641,0.515,
7,0.505,15,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,86.536294,0.505,
8,0.511,16,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,69.073838,0.511,
9,0.511,17,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,59.653901,0.511,
10,0.523,18,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,88.160784,0.523,
11,0.511,19,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,68.209711,0.511,
12,0.499,20,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,83.916851,0.499,
14,0.501,21,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,74.200738,0.501,
15,0.503,22,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,64.737759,0.503,
16,0.511,23,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,72.467307,0.511,
17,0.503,24,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,86.146741,0.503,
18,0.519,25,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,67.611517,0.519,
19,0.512,26,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,85.764467,0.512,
20,0.514,27,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,70.855664,0.514,
21,0.508,28,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,87.499857,0.508,
22,0.502,29,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,82.619324,0.502,
23,0.516,30,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,89.310377,0.516,
25,0.498,31,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,68.698722,0.498,
26,0.503,32,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,84.893479,0.503,
27,0.49,33,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,79.811116,0.49,
28,0.503,34,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,70.078667,0.503,
29,0.513,35,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,72.178289,0.513,
30,0.513,36,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,82.775116,0.513,
31,0.518,37,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,89.246869,0.518,
32,0.501,38,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,76.853294,0.501,
33,0.522,39,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,70.561039,0.522,
34,0.521,40,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,87.151173,0.521,
36,0.497,41,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,75.026585,0.497,
37,0.512,42,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,86.676718,0.512,
38,0.503,43,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,82.827211,0.503,
39,0.534,44,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,85.060717,0.534,
40,0.518,45,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,78.879419,0.518,
41,0.512,46,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,84.244251,0.512,
42,0.507,47,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,66.996459,0.507,
43,0.507,48,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,61.806017,0.507,
44,0.504,49,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,81.849479,0.504,
45,0.511,50,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,79.932106,0.511,
47,0.526,51,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,80.123648,0.526,
48,0.508,52,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,77.166707,0.508,
49,0.506,53,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,65.472064,0.506,
50,0.51,54,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,80.384233,0.51,
51,0.5,55,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,65.876303,0.5,
52,0.503,56,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,89.977291,0.503,
53,0.524,57,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,66.258456,0.524,
54,0.516,58,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,64.340776,0.516,
55,0.511,59,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,66.628501,0.511,
56,0.483,60,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,75.333005,0.483,
58,0.531,61,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,76.218566,0.531,
59,0.509,62,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,80.474624,0.509,
60,0.522,63,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,74.15086,0.522,
61,0.525,64,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,87.718557,0.525,
62,0.496,65,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,86.033872,0.496,
63,0.508,66,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,87.198747,0.508,
64,0.502,67,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,57.48728,0.502,
65,0.512,68,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,81.936942,0.512,
66,0.512,69,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,80.931253,0.512,
67,0.526,70,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,76.249139,0.526,
69,0.524,71,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,63.242667,0.524,
70,0.506,72,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,67.380444,0.506,
71,0.495,73,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,85.749338,0.495,
72,0.522,74,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,77.193345,0.522,
73,0.52,75,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,69.659907,0.52,
74,0.528,76,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,66.607239,0.528,
75,0.501,77,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,83.959222,0.501,
76,0.502,78,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,65.521313,0.502,
77,0.514,79,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,84.975327,0.514,
78,0.51,80,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,76.474628,0.51,
80,0.515,81,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,61.290693,0.515,
81,0.503,82,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,80.666783,0.503,
82,0.513,83,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,87.651392,0.513,
83,0.485,84,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,87.976545,0.485,
84,0.516,85,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,57.354588,0.516,
85,0.5,86,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,80.77671,0.5,
86,0.533,87,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,85.05434,0.533,
87,0.508,88,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,68.249007,0.508,
88,0.502,89,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,88.100831,0.502,
89,0.526,90,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,66.104813,0.526,
91,0.506,91,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,68.215704,0.506,
92,0.511,92,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,58.922833,0.511,
93,0.504,93,0_0,0.5072390429448254,1.6458447079926297,0.15913208972627682,0.621355669969663,0.6226973425780552,0.9543378655569242,0.19744377751367526,0.08332540063040506,COMPLETED,Uniform,66.541309,0.504,
