,vol_frac,trial_index,arm_name,mu1_div_mu3,mu2_div_mu3,std1,std2,std3,comp1,comp2,comp3,trial_status,generation_method,runtime,vol_frac_pred,vol_frac_sigma
0,0.582,0,0_0,3.90883207321167,1.4598201215267181,0.7530504643917084,0.391926908493042,0.3216787278652191,0.014276409521698952,0.44999873638153076,0.21019288897514343,COMPLETED,Sobol,105.361072,0.5873275398467925,0.03138531900085725
3,0.624,1,1_0,1.6295143440365791,3.5032354220747948,0.301076486799866,0.5678964596241712,0.551310121640563,0.6936314748600125,0.723667767830193,0.6734324553981423,COMPLETED,Sobol,73.919067,0.6464403854015096,0.03169797979525171
15,0.651,2,2_0,2.2018191404640675,2.497646525502205,0.8188318667933345,0.22810770804062486,0.9348754538223147,0.7779522221535444,0.0022310325875878334,0.8317435374483466,COMPLETED,Sobol,257.678086,0.641136346766772,0.029906855248841614
27,0.649,3,3_0,4.4771198481321335,4.539170246571302,0.36905360165983436,0.9523031831718981,0.38883781088516123,0.45730084273964167,0.792532030493021,0.3018192434683442,COMPLETED,Sobol,207.034552,0.6453867062094348,0.028832076834185875
39,0.672,4,4_0,4.76536313444376,2.8754394948482513,0.12618667650967838,0.7814663533121348,0.5405321567319333,0.15687277168035507,0.22098589688539505,0.8897209605202079,COMPLETED,Sobol,247.688204,0.6327827445633029,0.04018238093819639
45,0.668,5,5_0,2.5405308715999126,4.083953943103552,0.5764017662033439,0.18361345045268535,0.782468337751925,0.6020295089110732,0.9487895788624883,0.4782392317429185,COMPLETED,Sobol,135.012925,0.6657036519539181,0.027084424351124146
46,0.635,6,6_0,1.0973745733499527,1.9172331877052784,0.5034836702980101,0.742248793784529,0.7160233668982983,0.924448873847723,0.29375667963176966,0.011334887705743313,COMPLETED,Sobol,109.54153,0.6374114230421836,0.030345034427041725
47,0.637,7,7_0,3.3179230578243732,3.123733974993229,0.9515034792013466,0.43993712970986965,0.15768093587830664,0.3696120409294963,0.5049279220402241,0.6066888282075524,COMPLETED,Sobol,183.940111,0.642754537208609,0.029838215150239714
48,0.596,8,8_0,3.2036518566310406,2.0425729490816593,0.4931810121051967,0.15588301932439208,0.6171390242874623,0.39589700661599636,0.14263460412621498,0.9711500238627195,COMPLETED,Sobol,94.729627,0.6065863236018582,0.029392495262576233
49,0.691,9,9_0,1.4909121170639992,4.998119555413723,0.9407673223875463,0.8663384898565709,0.25569919319823387,0.8415495688095689,0.9333937177434564,0.37970613688230515,COMPLETED,Sobol,264.578335,0.6886818744847018,0.026348185169501936
1,0.658,10,10_0,5.0,5.0,1.0,1.0,1.0,1.0,0.0,1.0,COMPLETED,FullyBayesian,1390.177222,0.6464228819060466,0.031154289154601552
2,0.709,11,11_0,1.0,5.0,1.0,0.1,1.0,1.0,1.0,0.0,COMPLETED,FullyBayesian,4251.868414,0.7035853056851447,0.028838974540596963
4,0.0,12,12_0,5.0,5.0,0.1,1.0,1.0,0.0,0.0,1.0,COMPLETED,FullyBayesian,458.879045,0.04215499961443692,0.0400883884486807
5,0.751,13,13_0,1.0,5.0,1.0,1.0,1.0,0.20429314586427116,1.0,1.0,COMPLETED,FullyBayesian,2099.5647,0.7275779438317621,0.026122287134244616
6,0.658,14,14_0,5.0,5.0,1.0,0.1,0.1,1.0,1.0,1.0,COMPLETED,FullyBayesian,1315.469385,0.6597213858583302,0.02829419980311934
7,0.754,15,15_0,5.0,1.0,0.1,0.8306603045161407,0.1,1.0,1.0,1.0,COMPLETED,FullyBayesian,1337.851252,0.7262691870895674,0.02662013005645862
8,0.696,16,16_0,5.0,3.108049571265085,0.1,0.807044194083642,0.1,1.0,1.0,0.0,COMPLETED,FullyBayesian,520.947071,0.688084813764795,0.02759353912451699
9,0.531,17,17_0,5.0,1.0,0.1,0.1,0.1,0.31729113069062354,1.0,0.0,COMPLETED,FullyBayesian,845.453034,0.5391155528664557,0.03132734877277879
10,0.684,18,18_0,5.0,1.0,1.0,1.0,0.7751435321459427,1.0,1.0,1.0,COMPLETED,FullyBayesian,2614.034347,0.6828583044273477,0.02759597063928293
11,0.65,19,19_0,5.0,4.049969130283894,1.0,1.0,0.1,1.0,0.0,0.0,COMPLETED,FullyBayesian,3291.090191,0.651456107415999,0.03026779584139247
12,0.515,20,20_0,5.0,1.0,0.1,1.0,0.1,0.21826570615922414,0.0,1.0,COMPLETED,FullyBayesian,589.429303,0.5152013238979349,0.03307845389260473
13,0.666,21,21_0,5.0,4.049941714588106,1.0,0.6678957195507007,0.6896717893382993,1.0,1.0,0.0,COMPLETED,FullyBayesian,1667.220104,0.6624680643597113,0.02634287077030432
14,0.515,22,22_0,1.0,1.0,0.1,1.0,0.1,1.0,0.0,1.0,COMPLETED,FullyBayesian,768.838551,0.5274253182087856,0.0322775212258582
16,0.697,23,23_0,5.0,1.0,0.1525715556913731,0.1,0.3484873895634344,1.0,0.31507722921901843,1.0,COMPLETED,FullyBayesian,430.662811,0.699651655519176,0.02996882646672138
17,0.649,24,24_0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,1.0,COMPLETED,FullyBayesian,793.473258,0.6476161818587025,0.0303388769202458
18,0.65,25,25_0,1.0,1.0,1.0,1.0,0.7896705424240587,0.0,1.0,1.0,COMPLETED,FullyBayesian,1661.742316,0.6421507605995419,0.0312109527090631
19,0.698,26,26_0,1.0,3.787142454673475,1.0,1.0,0.785538110314371,0.22805732266920475,1.0,0.0,COMPLETED,FullyBayesian,2410.488045,0.6870855456388142,0.02688796361100881
