,vol_frac,trial_index,arm_name,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,trial_status,generation_method,comp3,runtime,vol_frac_pred,vol_frac_sigma
0,0.571,0,0_0,4.142816796898842,3.370452105998993,1.2574275620281696,0.21115972362458707,0.2900850876234472,0.5670807512477042,0.06044045276939869,0.7316782791167498,COMPLETED,Sobol,0.20788126811385155,57.021544,0.5716345069486791,0.015204291600340989
3,0.671,1,1_0,4.968812271952629,4.130939066410065,4.100497912615538,0.3371172337792814,0.6415075285360217,0.8950509397312999,0.3468270879238844,0.4613837404176593,COMPLETED,Sobol,0.19178917165845633,123.398043,0.6687239189066434,0.014528719102592243
15,0.674,2,2_0,4.880362376570702,1.9923752807080746,3.531092122197151,0.19599306294694543,0.396659267321229,0.8197153277695179,0.5375346504151821,0.2710776496678591,COMPLETED,Sobol,0.1913876999169588,85.90813,0.6712955389606097,0.014260942561298071
27,0.653,3,3_0,4.516091175377369,4.919056311249733,1.9394187405705452,0.5081722370348871,0.8561173574067652,0.9701098223216832,0.17325745150446892,0.15124347526580095,COMPLETED,Sobol,0.6754990732297301,179.094478,0.6479937624974264,0.015796822026594732
39,0.645,4,4_0,2.311293762177229,2.7095906734466553,1.8441382013261318,0.16713915923610329,0.6639874801971019,0.8400013749487698,0.45314072351902723,0.5167235219851136,COMPLETED,Sobol,0.030135754495859146,136.904759,0.6471846870122748,0.01445477798204324
45,0.596,5,5_0,2.9628087766468525,4.873969923704863,2.967980768531561,0.21470948643982413,0.6028754164464771,0.6036713276058435,0.5251607289537787,0.16710235085338354,COMPLETED,Sobol,0.3077369201928377,71.415354,0.594308932920172,0.014879223058606407
46,0.689,6,6_0,1.3943950906395912,1.1252090968191624,3.1360573172569275,0.5562523976899684,0.8951477951370179,0.9787148199044168,0.24854386132210493,0.32147294376045465,COMPLETED,Sobol,0.4299831949174404,216.059711,0.6915552157603684,0.014805377335311558
47,0.543,7,7_0,1.0351588800549507,2.3776052370667458,3.388196788728237,0.12939988914877176,0.3071278646588326,0.6707099174149335,0.7058043060824275,0.1605929620563984,COMPLETED,Sobol,0.1336027318611741,60.140956,0.5462777062946962,0.015063029509393129
48,0.671,8,8_0,2.99530778452754,2.540290754288435,4.75759818777442,0.7976223283447326,0.8479071608744562,0.9407357360236347,0.6591594805940986,0.1963667767122388,COMPLETED,Sobol,0.14447374269366264,120.941152,0.669869594498855,0.014598019888866491
49,0.633,9,9_0,3.481994856148958,2.3293688781559467,4.393813382834196,0.42659647250548005,0.4478560794144869,0.8679254163056612,0.11923027038574219,0.146183168515563,COMPLETED,Sobol,0.7345865610986948,85.625825,0.6270264963486659,0.015425424850091346
1,0.751,10,10_0,5.0,1.0,4.012693039656147,0.11179172016644094,1.0,1.0,0.5544492596460215,0.4455507403517858,COMPLETED,FullyBayesian,2.192690473634684e-12,1141.126782,0.746370038942432,0.01377364669235199
2,0.693,11,11_0,5.0,1.0,1.0,0.9999999999327753,0.999999999993449,0.9999999998540967,0.6257118375096707,0.37428816353451244,COMPLETED,FullyBayesian,-1.0441831843621685e-09,1878.089667,0.6955036983292928,0.01163245596074152
4,0.639,12,12_0,4.999999999999998,1.0,1.0,1.0,1.0,0.9999999999999998,0.9999999999999999,1.6686202676666676e-16,COMPLETED,FullyBayesian,0.0,3273.701443,0.6416391558709181,0.010891296092940232
5,0.698,13,13_0,5.0,1.0,1.0,1.0,0.9999999999999997,0.9999999999999998,0.5418991400724192,0.4581008599275805,COMPLETED,FullyBayesian,2.220446049250313e-16,779.889116,0.6872502747284029,0.012353108360005065
6,0.687,14,14_0,4.999999999999998,1.0000000000000004,2.7978531952079138,1.0,0.9999999999999998,0.9999999999999993,0.6251947522795702,0.37480524772042967,COMPLETED,FullyBayesian,1.1102230246251565e-16,997.993696,0.6869793977802794,0.01218731282545266
7,0.644,15,15_0,5.0,1.0000000000000016,1.0000000000000004,1.0,0.9999999999999999,0.9999999999999997,1.0,0.0,COMPLETED,FullyBayesian,0.0,807.140352,0.6416391558709199,0.010891296092939465
8,0.644,16,16_0,5.0,1.0,2.4129570254851584,1.0,1.0,1.0,0.4609285992071279,0.5390714007864975,COMPLETED,FullyBayesian,6.374567540490261e-12,694.346395,0.651438386042347,0.014377712691838043
9,0.634,17,17_0,1.0000000000000002,1.0000000000000002,5.0,0.9999999999999998,1.0,0.9999999999999996,0.0,1.0,COMPLETED,FullyBayesian,0.0,2018.413008,0.647521704957682,0.010963760440702401
10,0.647,18,18_0,5.0,1.0,5.0,0.1,1.0,1.0,0.0,1.0,COMPLETED,FullyBayesian,0.0,606.964461,0.6468359256657427,0.015122060493002668
11,0.521,19,19_0,4.99999999999997,1.0000000000000233,4.999999999999995,0.10000000000000438,0.999999999999994,0.999999999999991,0.9999999999999958,1.2836953722228372e-15,COMPLETED,FullyBayesian,2.886579864025407e-15,2540.005952,0.5175059275888629,0.007853985827264202
12,0.661,20,20_0,1.0,1.0,5.0,1.0,1.0,1.0,0.0,1.0,COMPLETED,FullyBayesian,0.0,2190.198102,0.6475217049576827,0.010963760440701686
13,0.0,21,21_0,5.0,1.0,5.0,0.1,1.0,1.0,0.0,0.0,COMPLETED,FullyBayesian,1.0,872.210613,0.009810549940858726,0.016761031231064105
14,0.517,22,22_0,4.99999999999939,1.0000000000002602,4.999999999999636,0.10000000000013645,0.9999999999998298,0.9999999999996539,0.9999999999999225,0.0,COMPLETED,FullyBayesian,7.749356711883593e-14,1142.550133,0.5175059275888799,0.007853985827260539
16,0.518,23,23_0,4.999999999997248,1.0000000000012148,4.999999999999517,0.10000000000084364,0.9999999999992201,0.9999999999977973,0.9999999999995184,0.0,COMPLETED,FullyBayesian,4.816147480823929e-13,103.19226,0.5175059275889751,0.007853985827242041
17,0.516,24,24_0,4.9999999999999964,1.0000000000000002,4.999999999999999,0.10000000000000056,0.9999999999999996,0.9999999999999984,0.9999999999999998,1.074419372559273e-17,COMPLETED,FullyBayesian,2.220446049250313e-16,139.328381,0.5175059275888647,0.007853985827265117
18,0.742,25,25_0,4.999999999490706,1.0000000008679548,1.000000000412439,0.1,0.9999999998040718,0.999999999702833,0.37653475868329417,0.43738374066707936,COMPLETED,FullyBayesian,0.18608150064962647,2975.542025,0.7389624828129544,0.010751531354971243
19,0.731,26,26_0,5.0,1.0,1.0,0.1,1.0,1.0,0.36715192757149323,0.40275474775684955,COMPLETED,FullyBayesian,0.23009332467165722,653.812046,0.7295507996291032,0.011839794692669445
20,0.673,27,27_0,4.221400262861768,1.0,5.0,0.39562331845453624,0.39562331832604036,1.0,0.5750412296736599,0.42495877042034697,COMPLETED,FullyBayesian,-9.400680234250558e-11,1318.554743,0.6781515814358237,0.013781540225852512
21,0.65,28,28_0,1.0,4.999999999993868,1.0000000056299359,0.9999999984039861,0.9999999984071816,1.0,1.2303109175620186e-13,0.24314636503996528,COMPLETED,FullyBayesian,0.7568536349599116,563.739908,0.6481477311910518,0.01520224383387117
22,0.692,29,29_0,4.0631208914103585,1.00000000000001,1.0000000000000007,0.4083398837493568,0.4083398837493577,0.9999999999999989,0.5690860807705936,0.430913919229405,COMPLETED,FullyBayesian,1.3322676295501878e-15,314.414587,0.69138355371936,0.013577015303078664
23,0.516,30,30_0,1.0,1.0,5.0,0.1,0.1,0.10000000000000014,0.0,0.9999999999999998,COMPLETED,FullyBayesian,2.220446049250313e-16,974.111031,0.5166551682926336,0.01548227967745189
24,0.516,31,31_0,5.0,1.0,1.0,0.1,0.1,0.1,0.0,0.3415318323845065,COMPLETED,FullyBayesian,0.6584681676154935,2055.714417,0.5185808697333439,0.015515775679863297
25,0.513,32,32_0,5.0,5.0,5.0,0.1,0.10000000000000002,1.0,0.0,0.2878587366228745,COMPLETED,FullyBayesian,0.7121412633771256,835.48015,0.5131314899059151,0.015332788839341447
26,0.663,33,33_0,5.0,3.097845253930987,1.0,0.7545927591449569,0.7545927591453777,0.7545927591452651,0.236529856890392,0.2501942198535041,COMPLETED,FullyBayesian,0.5132759232561039,1689.819018,0.6763015940166127,0.015185707678083995
28,0.672,34,34_0,3.4908442376292945,5.0,1.0,0.5705529599547138,0.9999999999999999,0.9999999999999999,0.10075072362902875,0.8992492763709714,COMPLETED,FullyBayesian,-2.220446049250313e-16,700.118539,0.6704115604277554,0.014808442857605986
29,0.654,35,35_0,1.0,5.0,1.0000000000017086,0.3952093824500643,1.0,1.0,6.166561985451038e-14,0.999999999999875,COMPLETED,FullyBayesian,6.339373470609644e-14,2040.123706,0.6544898004894616,0.015042655975666135
30,0.756,36,36_0,5.0,1.0,1.0000000000000002,0.6563576996230452,0.6563576993420007,0.6563576992944513,0.24757891761337597,0.24074332503338242,COMPLETED,FullyBayesian,0.5116777573532416,2027.155997,0.7323245338317512,0.016956553980694653
31,0.64,37,37_0,4.999999999973051,5.0,1.000000000000986,0.1,0.9999999999994958,0.999999999999724,0.5862587772301857,0.41374122276843844,COMPLETED,FullyBayesian,1.375788372115494e-12,366.295853,0.6451602369986612,0.015438401066893006
32,0.691,38,38_0,5.0,2.750423078549502,1.0000000000000016,0.7262515949541808,0.7262515949541797,1.0,0.3257898775548001,0.23654952581137434,COMPLETED,FullyBayesian,0.4376605966338256,246.302707,0.686147073919121,0.01140696690034167
33,0.69,39,39_0,5.0,2.751956500048604,1.0,0.654366614540804,0.6543666145406323,1.0,0.34326125728888357,0.24049940026655903,COMPLETED,FullyBayesian,0.4162393424445574,859.453632,0.6962088992854454,0.011817446472190032
34,0.692,40,40_0,5.0,1.0,1.0,0.7103286030210523,0.7103286030210343,0.7103286030210516,0.327145983179021,0.2291948387406707,COMPLETED,FullyBayesian,0.4436591780803083,1420.460861,0.70603851140204,0.013310434389733504
35,0.647,41,41_0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.5871986989634108e-09,COMPLETED,FullyBayesian,-1.5871985947768508e-09,842.845129,0.6464169981824055,0.015220124951086541
36,0.645,42,42_0,1.0,3.167265696462169,5.0,0.7450851850068888,1.0,1.0,0.0,0.4770627641443595,COMPLETED,FullyBayesian,0.5229372358556406,375.79646,0.6451186060483178,0.015120643751906101
37,0.659,43,43_0,5.0,1.0,2.601375853906918,0.10000000004892574,1.0,1.0,0.17862895725487257,0.8213710433779886,COMPLETED,FullyBayesian,-6.328610968608928e-10,551.621448,0.659912103619613,0.014215331034172888
38,0.752,44,44_0,4.999999999999999,1.0000000000000002,1.0,0.4311414636600076,1.0,1.0,0.7292856541667255,0.2707143458332746,COMPLETED,FullyBayesian,0.0,678.159949,0.7508493761362227,0.014739431147388928
40,0.66,45,45_0,1.0000000000000002,1.0,5.0,0.1,1.0,1.0,5.365332118969019e-17,0.8350526370981076,COMPLETED,FullyBayesian,0.16494736290189238,560.431383,0.6581861650689479,0.01501500766026859
41,0.622,46,46_0,1.0,1.0,5.0,1.0,1.0,1.0,0.2938362447251127,0.21421726789105508,COMPLETED,FullyBayesian,0.4919464873838322,438.454804,0.6231802532354135,0.01495746445317106
42,0.696,47,47_0,5.0,1.0000000000000004,2.5455827626980105,0.1,1.0,1.0,0.35777863375659436,0.6422213684791317,COMPLETED,FullyBayesian,-2.235726048738229e-09,332.65864,0.6973639884597183,0.0142138219933734
43,0.654,48,48_0,5.0,5.0,5.0,1.0,1.0,1.0,7.305364138987613e-17,0.8307005437150042,COMPLETED,FullyBayesian,0.16929945628499565,302.538234,0.6536770807269962,0.015267390297845197
44,0.762,49,49_0,5.0,1.0000000000000009,1.0,0.26322099656054776,0.9999999999999999,0.9999999999999999,0.5058183286994218,0.46802553883497605,COMPLETED,FullyBayesian,0.02615613246560211,295.228845,0.7601460926775719,0.013307526308191238
