,vol_frac,trial_index,arm_name,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,trial_status,generation_method,runtime,vol_frac_pred,vol_frac_sigma
0,0.647,0,0_0,1.821022868156433,2.433822751045227,3.5236775875091553,0.5943159937858583,0.12564098611474037,0.3638987362384797,0.27152377367019653,0.6113385558128357,0.8736794590950012,COMPLETED,Sobol,86.857632,0.6430507310505924,0.027190635784133547
3,0.6,1,1_0,3.27779333665967,4.798547223210335,2.5856543332338333,0.2594959824346006,0.7692971358075738,0.7654658768326044,0.5995651725679636,0.12434375379234552,0.32803395111113787,COMPLETED,Sobol,82.894093,0.6146924687272671,0.02879041482337715
15,0.71,2,2_0,4.382188756018877,1.0150535590946674,4.7790606543421745,0.8888013072311878,0.9105418149381876,0.9818157904781402,0.14646757300943136,0.32295697927474976,0.1056170491501689,COMPLETED,Sobol,387.582206,0.6936267548112941,0.02979186674163161
27,0.59,3,3_0,2.9566176049411297,3.6278091743588448,1.8303570821881294,0.33063196334987877,0.4362708425149322,0.14409499065950515,0.9746309071779251,0.8202075874432921,0.5912287859246135,COMPLETED,Sobol,63.130962,0.5912179374304838,0.0280135410340512
39,0.632,4,4_0,2.0111092887818813,1.905113060027361,2.4141676165163517,0.4818124742247164,0.5349630316719413,0.482684515696019,0.0661560408771038,0.4462169846519828,0.15057367645204067,COMPLETED,Sobol,103.308027,0.6426990300219761,0.024970827140024507
45,0.66,5,5_0,4.59344420209527,3.2689196839928627,3.476138073951006,0.821999445836991,0.7840456325560808,0.6432056694291532,0.7971204174682498,0.9431013092398643,0.6673661526292562,COMPLETED,Sobol,183.255641,0.652763894863548,0.024937581556979158
46,0.676,6,6_0,3.6919190920889378,2.544447910040617,1.169828113168478,0.10129795111715795,0.6431614154949784,0.877301880903542,0.4378038104623556,0.7347206706181169,0.8834716305136681,COMPLETED,Sobol,129.25162,0.6676393760055483,0.02815166840040156
47,0.706,7,7_0,1.140905823558569,4.156286641955376,4.2211164347827435,0.6681353664025664,0.22420617267489434,0.25205586235970256,0.6754821697250009,0.24711559526622295,0.43152328580617905,COMPLETED,Sobol,165.946036,0.6823497432641579,0.030214702009260845
48,0.65,8,8_0,1.4253391101956367,1.4420216232538223,1.4552332647144794,0.8500955710187554,0.6795885263010859,0.15882175648584962,0.05795626901090145,0.3767441315576434,0.20814381167292595,COMPLETED,Sobol,166.657257,0.6443495183234365,0.025758029630820252
49,0.617,9,9_0,3.9758451730012894,3.8214532546699047,4.403944376856089,0.5099078215658664,0.205358749255538,0.9117041979916394,0.8209490487352014,0.8873003385961056,0.7230770997703075,COMPLETED,Sobol,79.22558,0.6225350621343595,0.02561350604418544
1,0.647,10,10_0,1.0,5.0,5.0,1.0,0.1,0.1,0.65182329422916,0.0,0.0,COMPLETED,FullyBayesian,421.435213,0.6464908457179982,0.028321872844940678
2,0.66,11,11_0,1.0,1.0,5.0,1.0,1.0,1.0,0.6743583042531639,0.0,1.0,COMPLETED,FullyBayesian,734.333536,0.6624288037023083,0.027336330776473013
4,0.641,12,12_0,5.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,COMPLETED,FullyBayesian,1575.947759,0.6381201818432979,0.0292442263984851
5,0.637,13,13_0,5.0,1.0,5.0,0.1,1.0,1.0,0.0,0.7040381774372919,0.0,COMPLETED,FullyBayesian,741.635613,0.6340887603880576,0.02887458908829131
6,0.664,14,14_0,5.0,1.0,5.0,1.0,1.0,0.1,0.0,0.28594294547265037,1.0,COMPLETED,FullyBayesian,1093.819864,0.6464054665800103,0.03192089118808112
7,0.641,15,15_0,5.0,1.0,5.0,0.7946457987779875,0.6616332183704293,1.0,0.4898473074293873,0.0,0.0,COMPLETED,FullyBayesian,1327.337633,0.6266426498176006,0.03036955386382868
8,0.682,16,16_0,1.0,3.303567606817643,5.0,0.7243212004782159,1.0,0.1,0.5956197490327083,0.0,0.5837827360324205,COMPLETED,FullyBayesian,2159.525318,0.6638550300853765,0.02721462221229674
9,0.513,17,17_0,1.0,3.605075509360002,4.760378128101854,0.1,0.24679748982192345,0.2654706009298305,0.8790439396351333,0.0,1.0,COMPLETED,FullyBayesian,773.267348,0.5291536636066487,0.032104234649329995
