,vol_frac,trial_index,arm_name,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,trial_status,generation_method,runtime,vol_frac_pred,vol_frac_sigma
0,0.659,0,0_0,3.2591191045939922,2.819168522953987,1.16273894906044,0.15882428027689457,0.6221616844646632,0.8078561945818364,0.379377668723464,0.6022705193608999,0.09814406465739012,COMPLETED,Sobol,117.084924,0.5890829970281872,0.0647766557804731
3,0.708,1,1_0,4.55547709017992,1.5271765105426311,4.385981190949678,0.5913279718719423,0.944212784152478,0.958090837020427,0.22484568133950233,0.04569390416145325,0.6603954080492258,COMPLETED,Sobol,188.592294,0.4836586079333326,0.05942024143418676
15,0.648,2,2_0,3.6008746922016144,4.122246228158474,2.3430607430636883,0.32164090033620596,0.6650971201248467,0.7134398967027664,0.6830014223232865,0.44967080745846033,0.8079405929893255,COMPLETED,Sobol,126.575879,0.6406759045644417,0.06214301635987168
27,0.595,3,3_0,2.686374470591545,3.768348801881075,3.784855231642723,0.28517912365496156,0.4206658049486578,0.7667975625954568,0.42569191940128803,0.9585347771644592,0.7353719687089324,COMPLETED,Sobol,56.520738,0.6606021789972132,0.05729462565802116
39,0.664,4,4_0,2.453879442065954,1.0402222834527493,4.713254179805517,0.1953100895509124,0.49042069548740985,0.8683752126991748,0.6376637341454625,0.11061572190374136,0.4200992379337549,COMPLETED,Sobol,117.328394,0.6206733302633446,0.06797191287936144
45,0.638,5,5_0,2.030984379351139,4.230045825242996,1.0063996240496635,0.3275900675915182,0.8525951978750527,0.9867574554868043,0.16953676287084818,0.4943842850625515,0.07443761266767979,COMPLETED,Sobol,86.479911,0.5823103290255462,0.07990099385857818
46,0.548,6,6_0,4.692293953150511,3.518337659537792,2.942475773394108,0.15388944149017336,0.17456815149635077,0.3895594818517566,0.2855721637606621,0.7862842055037618,0.5876716459169984,COMPLETED,Sobol,43.322923,0.5847934419775312,0.07349989094921947
47,0.695,7,7_0,4.416952162981033,1.2902721613645554,1.5595322288572788,0.21563184279948472,0.21621268689632417,0.2879866228438914,0.5268026953563094,0.12686426378786564,0.25676630809903145,COMPLETED,Sobol,64.730995,0.5515966611865148,0.07928834288619162
48,0.605,8,8_0,2.7966118156909943,3.340148191899061,1.800363253802061,0.2123819760978222,0.29232122013345363,0.6751731861382723,0.043833897449076176,0.7094286810606718,0.35607757419347763,COMPLETED,Sobol,78.340867,0.5210854466658017,0.07939267982338973
49,0.64,9,9_0,2.38950227946043,4.661212615668774,3.0221515335142612,0.47935322551056747,0.7593996244482696,0.8946938572451473,0.29938253201544285,0.24390225298702717,0.9547257320955396,COMPLETED,Sobol,97.116111,0.6412641890044408,0.06726118032779005
1,0.642,10,10_0,4.999999999996979,1.0000000000040306,1.0000000000186962,0.9999999999941771,0.9999999999937996,0.9999999999979207,0.9999999999997302,9.79816853557862e-13,0.5704409494568713,COMPLETED,FullyBayesian,1521.419426,0.6248768793497608,0.06056458696813216
2,0.652,11,11_0,4.204593495563368,1.0,1.0,1.0,1.0,0.9999999999999805,0.9999999999945356,0.0,0.521986674830999,COMPLETED,FullyBayesian,626.99377,0.6325330458105808,0.05582302628545828
4,0.656,12,12_0,4.999999999999828,1.0000000000000566,1.000000000000026,0.9999999999999601,0.9999999999999799,0.9999999999999983,0.9999999999999931,4.0806399834020595e-14,1.321776775852048e-15,COMPLETED,FullyBayesian,528.216272,0.6239620028102046,0.06564492732459437
