,vol_frac,trial_index,arm_name,mu1_div_mu3,mu2_div_mu3,std1,std2,std3,comp1,comp2,comp3,trial_status,generation_method,runtime,vol_frac_pred,vol_frac_sigma
0,0.543,0,0_0,4.020912408828735,3.6482462882995605,0.21689108461141587,0.2435818001627922,0.17623656764626505,0.09399323910474777,0.4742829203605652,0.46988731622695923,COMPLETED,Sobol,60.068084,0.5501111264353984,0.02745138550234885
3,0.616,1,1_0,2.807666849344969,4.333282928913832,0.46103183440864093,0.5494654097594321,0.7028131019324064,0.6789792431518435,0.11117557715624571,0.9614534042775631,COMPLETED,Sobol,93.108614,0.6044435211605697,0.023947004236148192
15,0.658,2,2_0,3.9082836844027042,4.734859764575958,0.564966708701104,0.9067495292983949,0.3898369999602437,0.19624845869839191,0.22879611514508724,0.8332145866006613,COMPLETED,Sobol,222.904612,0.6542401485180454,0.02622357174752879
27,0.611,3,3_0,2.0600273236632347,1.7585078366100788,0.18503121752291918,0.40768784862011676,0.5683464865200222,0.8544287038967013,0.8688202081248164,0.21304328739643097,COMPLETED,Sobol,62.015995,0.6083212994342797,0.02614638448823918
39,0.658,4,4_0,1.4278611317276955,1.4069026224315166,0.3782267145812511,0.9793320372700691,0.11829429408535362,0.7272551394999027,0.799390415661037,0.1384589858353138,COMPLETED,Sobol,226.547238,0.6552751410453445,0.025700754339977608
45,0.671,5,5_0,3.6487052738666534,2.595881812274456,0.1305136160925031,0.7084415775723756,0.7606733711436391,0.06230170372873545,0.6629679165780544,0.6761672403663397,COMPLETED,Sobol,193.140017,0.6533471400823898,0.025525939389217437
46,0.642,6,6_0,3.4045295007526875,3.0623190104961395,0.5155535127967596,0.5686412805691362,0.6261999328620732,0.47108856681734324,0.42049044743180275,0.42850529588758945,COMPLETED,Sobol,91.271942,0.6253342332489323,0.024590520238562508
47,0.555,7,7_0,1.6722257696092129,4.99739571288228,0.27486930396407844,0.8392043045721949,0.2527695931494236,0.801866952329874,0.05752332787960768,0.8900414928793907,COMPLETED,Sobol,97.742973,0.5570864997168391,0.025675353139063092
48,0.641,8,8_0,4.403628125786781,4.813854273408651,0.3384426490403712,0.7661045208573342,0.4990703267045319,0.5999978436157107,0.5875924322754145,0.931919445283711,COMPLETED,Sobol,173.531069,0.6461903835978378,0.02677193833360521
49,0.62,9,9_0,2.675017260015011,3.1288099363446236,0.11533857686445118,0.9242782396264374,0.8289913654327392,0.17295937798917294,0.950942006893456,0.37879957910627127,COMPLETED,Sobol,231.310314,0.6238600011699502,0.02574444109841809
1,0.646,10,10_0,4.999999999999998,1.0,0.9999999999999998,1.0,0.8807386017746052,1.0786723894319862e-15,0.5012056981493104,0.9999999999999998,COMPLETED,FullyBayesian,695.555215,0.6511141120394475,0.027502917587734335
2,0.653,11,11_0,5.0,1.0,0.38050286826238167,1.0,1.0,7.567212824188036e-18,0.1961785589863377,0.7115345740386918,COMPLETED,FullyBayesian,577.544466,0.6341817250102313,0.029673770112404064
4,0.654,12,12_0,4.204855495621571,2.6359456043385974,0.9999999999999999,0.9999999999999998,0.9999999999999999,0.9999999999999999,1.1796120016717077e-16,1.0,COMPLETED,FullyBayesian,1309.532869,0.6394355472174486,0.03328936012528215
5,0.751,13,13_0,5.0,1.0,0.8471215091959203,1.0,0.1,1.0,1.0,0.0,COMPLETED,FullyBayesian,6622.795325,0.7149699391332933,0.02666777962155013
6,0.679,14,14_0,3.8389372270839717,1.0000000000000144,0.10000000000000066,0.9999999999999994,0.9999999999999961,0.1815911000512584,0.7381452012712325,0.9999999999999993,COMPLETED,FullyBayesian,1344.437138,0.6819041012053535,0.025822374234368395
7,0.636,15,15_0,1.0000000000062255,1.000000000008595,1.0,1.0,0.2441942662541258,0.0,1.0,0.0,COMPLETED,FullyBayesian,1151.349584,0.6319723915338483,0.027058405120077282
8,0.0,16,16_0,4.99999999999997,3.7761636785878347,0.788839405824986,0.7888394058250132,0.9999999999999986,4.443950853491674e-14,1.5236800525511244e-15,0.9999999999999662,COMPLETED,FullyBayesian,1545.724725,0.015443556135984915,0.0292586749095025
9,0.0,17,17_0,5.0,1.0,1.0,1.0,0.1000000000000001,0.0,0.0,6.03711693056979e-17,COMPLETED,FullyBayesian,1007.870641,0.0024401344651947543,0.02762110214603277
10,0.642,18,18_0,5.0,1.0,0.10000000000000007,0.9999999999999999,0.17769280917195776,2.720149544058539e-18,1.0,1.0,COMPLETED,FullyBayesian,1013.758309,0.6388929307421635,0.026859401553194398
11,0.653,19,19_0,5.0,5.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.6623499033985937,COMPLETED,FullyBayesian,2645.985467,0.6592969793899357,0.02705634082257556
12,0.641,20,20_0,1.0,1.0,1.0,1.0,1.0,1.0,0.4577801612060424,0.0,COMPLETED,FullyBayesian,1872.562913,0.6319366020997442,0.028888002644628662
13,0.691,21,21_0,3.220403761290808,1.0,1.0,1.0,0.1,0.9999999999799458,1.0,1.0,COMPLETED,FullyBayesian,672.241328,0.6989785337111342,0.02425471524568606
14,0.0,22,22_0,3.6329824142883664,1.0,0.10000000000000007,1.0,0.6597850371295516,2.0432216577124598e-17,0.0,0.8845093348825276,COMPLETED,FullyBayesian,715.361631,0.011612239782738176,0.027040775992483435
16,0.622,23,23_0,1.0000000000000027,1.0000000000000004,1.0,0.9999999999999999,0.9999999999999999,1.0,0.7008218867371988,0.5078121777093633,COMPLETED,FullyBayesian,777.054347,0.6284346475965998,0.028287908845099956
17,0.636,24,24_0,1.0000000000001426,1.0000000000001412,0.9999999999999114,0.9999999999999736,0.9999999999758408,0.9999999999938659,1.0,0.4519689389976499,COMPLETED,FullyBayesian,1576.73785,0.6457776144591836,0.02699063438172791
18,0.731,25,25_0,5.0,1.0,0.1,1.0,1.0,1.0,0.23677744739153356,1.0,COMPLETED,FullyBayesian,1703.639719,0.7137693999622002,0.023987009339174945
19,0.611,26,26_0,1.0,1.0,0.9461854975198265,0.9461854974350743,1.0,1.0,0.2243456961347161,0.0,COMPLETED,FullyBayesian,534.933526,0.6267284374953221,0.025958266244992752
20,0.648,27,27_0,1.0000000000000893,1.0000000000000913,0.9999999999999825,0.9999999999999868,0.9999999999999737,0.9999999999998701,0.2287627441844039,0.9999999999999774,COMPLETED,FullyBayesian,3770.139993,0.6523336855342239,0.0253912267194401
21,0.635,28,28_0,5.0,5.0,1.0,1.0,1.0,1.0,0.2126879589344912,0.0,COMPLETED,FullyBayesian,2459.430608,0.643750493032604,0.02738310283480931
22,0.641,29,29_0,1.0,1.0000016561833522,0.1000000009416972,0.9999999999986577,0.9999999962633548,3.15622728431997e-09,0.32786784090998505,1.0,COMPLETED,FullyBayesian,1037.914372,0.6504401180202976,0.030257649991861632
23,0.665,30,30_0,5.0,5.0,1.0,1.0,0.1000000000000043,0.0,0.8023692238503632,1.0,COMPLETED,FullyBayesian,2567.15735,0.654037724905568,0.027624545732695415
24,0.688,31,31_0,4.999999991606307,1.0000000005006981,0.1,0.10000000148064417,1.0,1.0,0.13195546404775535,0.9999999980741721,COMPLETED,FullyBayesian,1996.816532,0.682682137436763,0.027981927125002977
25,0.756,32,32_0,5.0,1.0,0.1,1.0,1.0,0.4718500876345019,0.29220308167768305,1.0,COMPLETED,FullyBayesian,543.960988,0.7566832860307823,0.021370381930572262
26,0.487,33,33_0,4.999999999999986,4.999999999999998,0.10000000000000073,0.10000000000000284,1.0,0.9999999999999991,0.3376721335723831,0.9999999999999994,COMPLETED,FullyBayesian,653.619599,0.5071573846972328,0.03022792370746283
28,0.687,34,34_0,5.0,1.0,0.1,1.0,0.1,1.0,0.15007570738715095,1.0,COMPLETED,FullyBayesian,5176.269973,0.6942436382945771,0.026385819681923
